unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h	a b r a h a m	a b r a h a m
k i s	c h i s	c i s	c i s	c i s	c h i s	c i s	c i s
e l i s a b e t	e l y s a b e d	e l i s a b e t	e l i s a b e t	e l i s a b e t	e l i a	e l i s a b e t	e l i s a b e t
a p i a	a p i a	a b i a	a p i a	a b i a	a p i a	a p i a	a p i a
k o r n i l i u s	c o r n i l i u s	c o r n i l i u s	c o r n i l i u s	c o r n i l i u s	c o r n i u s	c o r n i l i u s	c o r n i l i u s
p r i s i l a	p r y s i l a	p r i s i l a	p r i s i l a	p r i s i l a	p r i s i a	p r i s i l a	p r i s i l a
j e h o r a m	j e h o r a m	j e h o r a m	j o r a m	j e h o r a m	j a h r a m	j e h o r a m	j e h o r a m
y u f r e t i s	e u p h r e t i s	e u p h r e t i s	e u f r e t i s	e u p h r e t i s	h u p h r e s	e u p h r e t i s	e u p h r e t i s
h a r a n	h a r a n	h a r a n	h a r a n	h a r a n	h a r a n	h a r a n	h a r a n
s o d o m	s o d o m	s o d o m	s o d o m	s o d o m	s o d o m	s o d o m	s o d o m
k u s a	c h u s a	c u s a	c u s a	c u s a	c u s a	c u s a	c u s a
k u e y n y a y	c u n a a	c u e e n e a s	c u e e n e a s	c u e e n e a s	u s h e n a	c u e e n e a s	c u e e n e a s
a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i n	a p o l i o n	a p o l i o n
m a k d a l a	m a g d a l a	m a g d a l a	m a g d a l a	m a g d a l a	m a c h a l a	m a g d a l a	m a g d a l a
h i m e n e u s	h i m e n e u s	h i m e n e u s	h i m e n e u s	h i m e n e u s	h i m e n u s	h i m e n e u s	h i m e n e u s
n a s o n	n a s o n	n a s o n	n a s o n	n a s o n	n n a s o n	n a s o n	n a s o n
i t i o p i a	i t i o p i a	i t i o p i a	i t i o p i a	i t i o p i a	i t h i o s	i t i o p i a	i t i o p i a
k w i n	q u i n	q u i n	q u i n	q u i n	c h o d i n	q u i n	q u i n
n a k - h n u a w o n	a o n h n u i o n	n a u k h n u a w o n	n a u k h n u a w o n	n a u k h n u a w o n	n a k o n i a	n a u k h n u a w o n	n a u k h n u a w o n
k a i a f a s	c h a i a p h a s	c a i a p h a s	c a i a p h a s	c a i a p h a s	c a a p h a s	c a i a p h a s	c a i a p h a s
j o t a m	j o t a m	j o t a m	j o t a m	j o t a m	j o d a m	j o t a m	j o t a m
i s o	i s o	i s o	i s o	i s o	e s o	i s o	i s o
e l i u t	e l i u d	e l i u t	e l i u t	e l i u t	e l i t	e l i u t	e l i u t
a b i l e n e	a b y l e n e	a b y l e n e	a b y l e n e	a b y l e n e	a b i l e n e	a b y l e n e	a b y l e n e
a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
f i l a d e l f i a	p h i l a d e l p h i a	p h i l a d e l p h i a	p h i l a d e l f i a	p h i l a d e l p h i a	p h i l a e	p h i l a d e l p h i a	p h i l a d e l p h i a
o m	o m	o m	o m	o m	o m	o m	o m
