unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
s i m e a		s h i m e a	s i m e a	s h i m e a	s h i m e a h	s i m e a	s h i m e a
k i r	k i r	k i r	k i r	k i r	k i r	k i r	k i r
p i s i d i e		p i s i d i a	p i s i d i a	p i s i d i a	p i s i d i a	p i s i d i a	p i s i d i a
b e r e a		b e r e a	b e r e a	b e r e a	b e r e a h	b e r e a	b e r e a
r a a d	r a d	r a a d	r a a d	r a a d	r a a d	r a a d	r a a d
j a e l	j a e l	j a e l	j a e l	j a e l	j a a l	j a e l	j a e l
m a g l i	m a g l i	m a g l i	m a g l i	m a g l i	m a c h l i	m a g l i	m a g l i
t a l i t a		t a l t a	t a l i t h a	t a l t a	t a l t a h	t a l t a	t a l t a
a s o r	a z o r	a z o r	a s h o r	a z o r	a z o r	a z o r	a z o r
a b b a	a b b a h	a b b a	a b b a	a b b a	a b b a h	a b b a	a b b a
m e r e m o t		m e r e m o t h	m e r e m o t h	m e r e m o t h	m e r e m o t h	m e r e m o t h	m e r e m o t h
j e d u t u n		j e d h u t h u n	j e d u t u n	j e d h u t h u n	j e d u t u n	j e d u t u n	j e d u t u n
a p e l l e s		a p e l l e s	a p e l l e s	a p e l l e s	a p h e l l e s	a p e l l e s	a p e l l e s
j e r e m i a	j e r e m i a	j e r e m i a	j e r e m i a	j e r e m i a	j e r e m i a h	j e r e m i a	j e r e m i a
b a a l		b a a l	b a a l	b a a l	b a a l	b a a l	b a a l
e b e d	e b e d	e b e d	e b e d	e b e d	e b e d	e b e d	e b e d
b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s
b a r s a b a s		b a r z a b a s	b a r z a b a s	b a r z a b a s	b a r s a b a s	b a r z a b a s	b a r z a b a s
b i g r i	b i g r i	b i g r i	b i g r i	b i g r i	b i g r i	b i g r i	b i g r i
c e f a s		c e p h a s	c e p h a s	c e p h a s	c e p h a z	c e p h a s	c e p h a s
e f f a t a		e p h p h a t h a	e p h p h a t h a	e p h p h a t h a	e p h p a t h a	e p h p h a t h a	e p h p h a t h a
s t a c h i s		s t a c h i s	s t a c h i s	s t a c h i s	s t a c h i s h	s t a c h i s	s t a c h i s
