unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
s e r i k o	j e r i c o	s a l i c o	s e r i c o	s a l i c o	s e r i c o	s a l i c o	s a l i c o
r u f u s - y a f a n d i		l u p h u s e a p h a h	l u p h u s s a p h a h	l u p h u s e a p h a h	r u s i u s	l u p h u s e a p h a h	l u p h u s e a p h a h
a s o s	a s o s	a s o s	a s o s	a s o s	a s s u s	a s o s	a s o s
k r o d i a	c h r o d i a	c r o d i a	c h r o d i a	c r o d i a	c r o d i a	c r o d i a	c r o d i a
a h a s	a h a s	a h a s	a a s	a h a s	a n a s	a h a s	a h a s
f i r i p a i	p h i l i p a i	p h i l i p e	p h i l i p i	p h i l i p e	p h i l i p a	p h i l i p e	p h i l i p e
e f r a i m	e p h r i m	e p h r i m	e p h r i m	e p h r i m	e p h i m a	e p h r i m	e p h r i m
u s i a	u c i a	u s i a	u s i a	u s i a	j u s i a	u s i a	u s i a
s e r u k	j e r u k	s e l u k e	s e r o n	s e l u k e	j a r u s	s e l u k e	s e l u k e
s i s a s	j e s u s	j e s u s	j e s u s	j e s u s	j e s s a s	j e s u s	j e s u s
s u s	j u s	s u s	s u s	s u s	j u s	s u s	s u s
s o n a	j o n a s	j o n a s	s o n a	j o n a s	j o n a h	j o n a s	j o n a s
a h i n u m b i		a h a n o m b a	a s n d i	a h a n o m b a	a r h a n	a h a n o m b a	a h a n o m b a
k r o d i u s	c h r o d i u s	c r o d i u s	c h r o d i u s	c r o d i u s	c r o d i u s	c r o d i u s	c r o d i u s
g a r i o	g a l i o	g a l i o	g a l i o	g a l i o	g g o s	g a l i o	g a l i o
s e r u b a b e r	j e r u b a b e r	s e r u b a b e r	s e r u b a b e r	s e r u b a b e r	s e r u a	s e r u b a b e r	s e r u b a b e r
g e r a s a	g e r a s a	g e r a s a	g e r a s a	g e r a s a	g e r a s	g e r a s a	g e r a s a
m b o a f o	e a	m b o a p h o	m o a p h o	m b o a p h o	l o a	m b o a p h o	m b o a p h o
p o n d i u s	p o n t i u s	p o n t i u s	p o h u s	p o n t i u s	p o n d i u s	p o n t i u s	p o n t i u s
k a i n a n	s h e l a n	s h e l a n	s h e l a n	s h e l a n	c a i n a	s h e l a n	s h e l a n
p i t a	s h e m u n	p e t e r	p e t a	p e t e r	p h e t e n	p e t e r	p e t e r
g a b a t a - a n e	g a b a t h a	g a b a t a n e	g a b a t a n e	g a b a t a n e	g a b a t h	g a b a t a n e	g a b a t a n e
e f a t	e p h a t	e p h a t	e p h a t	e p h a t	e p a t h	e p h a t	e p h a t
