unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	e b r a h e a m	a b r a h a m	a b r a h a m
k i d r o n	k i d r o n	c e d r o n	c e d r o n	c e d r o n	c h e d d o n	c e d r o n	c e d r o n
e l a i j a	e l i a	e l i a	e l i a	e l i a	e l i a	e l i a	e l i a
a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n
n i d a s	n t u s	n i d a s	n i d a s	n i d a s	n i d a s	n i d a s	n i d a s
p o n t a s	p h o e n t u s	p o n t u s	p o n t u s	p o n t u s	p o r n t a s	p o n t u s	p o n t u s
j e k o n a e a	j a k u n i a h	j a k o n i a	j a k o n i a	j a k o n i a	j e c h o n e a	j a k o n i a	j a k o n i a
i t i o p i a	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	b y t o p i a	c a n d a c e	c a n d a c e
h e g a	h e r g a	h e g a	h e g a	h e g a	e g e g	h e g a	h e g a
g a r e i	g a r e	g a r a i	g a r a i	g a r a i	g a r o b i a	g a r a i	g a r a i
k i o s	k i o s	c e o s	c e o s	c e o s	c h e o s	c e o s	c e o s
m u r i n a	m u r i n a h	m u r i n a	m u r i n a	m u r i n a	m u r i n a h	m u r i n a	m u r i n a
a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s
m a g a d a n	m a g a d a n	m a g a d a n	m a g a d a n	m a g a d a n	m a g g o n	m a g a d a n	m a g a d a n
t e t a l a s	t e t h a l u s	t e t a l a s	t e t a l a s	t e t a l a s	t i t a l a s	t e t a l a s	t e t a l a s
h o s e a	l u s e a	h o s e a	h o s e a	h o s e a	m o s e a h	h o s e a	h o s e a
n a g a i	l	n a g a i	n a g a i	n a g a i	n a h i d	n a g a i	n a g a i
