unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
p a l	p a l	p a l	p a l	p a l	p a u u s	p a l	p a l
s h i l e m i	s h i l e m	s h i l e m i	s h i l e m	s h i l e m i	s h i l e m	s h i l e m i	s h i l e m i
k i d r o n	k i d r o n	c i d r o n	c i d r o n	c i d r o n	c i d r o n	c i d r o n	c i d r o n
p i l a t i	p i l a t	p i l a t	p i l a t	p i l a t	p i l a t u s	p i l a t	p i l a t
b e r e a	b e r e a	b e r e a	b e r e a	b e r e a	b e r e a	b e r e a	b e r e a
s a n s o n	s a n s o n	s a n s o n	s a n s o n	s a n s o n	s a n n o n	s a n s o n	s a n s o n
j a k i n	j a c h	j a c i n	j a c h i n	j a c i n	j a c h i n	j a c i n	j a c i n
m a h a l a l e e l i t	m a h a l a l e e l	m a h a l a l e e l i t	m a h a l a l e e l	m a h a l a l e e l i t	m a h a l a l	m a h a l a l e e l i t	m a h a l a l e e l i t
t a l i t h a	t a l i t h a	t a l i t h a	t a l i t h a	t a l i t h a	t a l i t h a	t a l i t h a	t a l i t h a
a z o r i	a z o r	a z o r i	a z o r	a z o r i	a z o r	a z o r i	a z o r i
a b b a	a b b a	a b b a	a b b a	a b b a	a b b a h	a b b a	a b b a
m e r a j o t h i	m e r a i o t h	m e r a j o t h	m e r a j o t h	m e r a j o t h	m e r a i o t h	m e r a j o t h	m e r a j o t h
j e d a j a h u	j e d a i a h	j e d a i a h	j e d a i a h	j e d a i a h	j e d a i a h	j e d a i a h	j e d a i a h
a p e l i t	a p e l	a p e l i t	a p e l	a p e l i t	a p e l	a p e l i t	a p e l i t
j e f u n e h u t	j e p h u n e h u s	j e p h u n e h u t	j e p h u n e h u t	j e p h u n e h u t	j e p h u n	j e p h u n e h u t	j e p h u n e h u t
b a a l i	b a a l	b a a l i	b a a l	b a a l i	b a a l	b a a l i	b a a l i
e b e d i	e b e d	e b e d i	e b e d	e b e d i	e b e d	e b e d i	e b e d i
b a r n a b a	b a r n a b a	b a r n a b a	b a r n a b a	b a r n a b a	b a r n a b	b a r n a b a	b a r n a b a
b a r s a b a	b a r s a b a	b a r z a b a	b a r z a b a	b a r z a b a	b a r s a b	b a r z a b a	b a r z a b a
b e t s e r i	b e z e r	b e z e r	b e z e r	b e z e r	b e t h e r	b e z e r	b e z e r
k e n k r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a
e f f a t h a	e p h p h a t h a	e p h p h a t h a	e p h p h a t h a	e p h p h a t h a	e p h a t h	e p h p h a t h a	e p h p h a t h a
s o s i p a t r i	s o s y p a t r	s o s i p a t r i	s o s i p a t r i	s o s i p a t r i	s o s i p a t r i s	s o s i p a t r i	s o s i p a t r i
s a r a j	z a r a i	s a r a i	s a r a i	s a r a i	s a r a i	s a r a i	s a r a i
e n o s h i	a e n o s h	e n o s h i	e n o s h i	e n o s h i	e n o s h	e n o s h i	e n o s h i
t a r s h i s h	t a r s h i s h	t a r s h i s h	t a r s h i s h	t a r s h i s h	t a r s h	t a r s h i s h	t a r s h i s h
b a n i	b a n	b a n i	b a n	b a n i	b a n	b a n i	b a n i
e l a m	e l a m	e l a m	e l a m	e l a m	e l a m	e l a m	e l a m
k r i s h t i	m e s h i c h a	c r i s h t i	c r i s h t i	c r i s h t i	m r i s h	c r i s h t i	c r i s h t i
m o i s i u	m o s h e h	m o s h e h	m o s i u s	m o s h e h	m o s h	m o s h e h	m o s h e h
g o m e r i	g o m e r	g o m e r i	g o m e r	g o m e r i	g o m e r	g o m e r i	g o m e r i
p o n t	p o n	p o n t	p o n t	p o n t	p o n t u s	p o n t	p o n t
m a k p e l a h u t	m a c p e l a h	m a k p e l a h	m a k p e l a h	m a k p e l a h	m a c h p h e l a h	m a k p e l a h	m a k p e l a h
