unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a b r a a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a a m	a b r a h a m	a b r a h a m
k o s	c o s	c o s	c o s	c o s	r h o d e s	c o s	c o s
i s a b e l	i s a b e l	i s a b e l	i s a b e l	i s a b e l	i s a b e l	i s a b e l	i s a b e l
a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o s	a p o l i o n	a p o l i o n
e l m o d a m	e l m o d a m	e l m o d a m	e l m o d a m	e l m o d a m	h e l o d	e l m o d a m	e l m o d a m
p r i s i l a	p r y s i l a	p r i s i l a	p r i s i l a	p r i s i l a	p r i s i l a	p r i s i l a	p r i s i l a
n i d o l		a d o n a i	n i d o l	a d o n a i	m i d o l	n i d o l	a d o n a i
e w f r a t e	e e p h r a t	e u p h r a t e	e u p h r a t e	e u p h r a t e	e p h r a t h	e u p h r a t e	e u p h r a t e
k u l a r u m e		c a l a r u m e	c u l a r u m e	c a l a r u m e	e l	c a l a r u m e	c a l a r u m e
s i o n	z i o n	z i o n	z i o n	z i o n	s i o n	z i o n	z i o n
s i l i s i a	s i l y c i a	s i l y s i a	s i l y s i a	s i l y s i a	s y l i i a	s i l y s i a	s i l y s i a
i m e n e w	i m e n e u s	i m e n e s	i m e n e s	i m e n e s	e m	i m e n e s	i m e n e s
a p o l u	a p o l l u x	a p o l l u x	a p o l l u x	a p o l l u x	a p o l u s	a p o l l u x	a p o l l u x
m a h a l a l e e l	m i a l a l e e l	m a h a l a l e e l	m a h a l a l e e l	m a h a l a l e e l	m a	m a h a l a l e e l	m a h a l a l e e l
t e r t u l o	t e r t u l u s	t e r t u l u s	t e r t u l u s	t e r t u l u s	t e r t u l u s	t e r t u l u s	t e r t u l u s
i k o n i o	i c o n i u s	i c o n i u s	i c o n i u s	i c o n i u s	i c o n i u s	i c o n i u s	i c o n i u s
e s l i	e s l i	e s l i	e s l i	e s l i	e s l i	e s l i	e s l i
t e s o r e r o	t h e s o r e r u s	t h e s o r e r u s	t h e s o r e r u s	t h e s o r e r u s	t e s o r	t h e s o r e r u s	t h e s o r e r u s
k a p e r n a u m	c a p n a u m	c a p e r n a u m	c a p e r n a u m	c a p e r n a u m	c h a	c a p e r n a u m	c a p e r n a u m
f e n i s e	p h o e n i c e	p h o e n i c e	p h o e n i c e	p h o e n i c e	p h e n i s	p h o e n i c e	p h o e n i c e
s e s a r e a	s h e s a r e a	s h e s a r e a	s h e s a r e a	s h e s a r e a	s s e r e h	s h e s a r e a	s h e s a r e a
j u d a	j u d a s	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a
e s a w	s a u s	e s a u s	e s a u s	e s a u s	s a u s	e s a u s	e s a u s
e l i u d	e l i u d	e l i u d	e l i u d	e l i u d	e l i u d	e l i u d	e l i u d
