unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e p a r a i m a		e p h a r i a m	e p h a r i m a	e p h a r i a m	e p r i m i a	e p h a r i a m	e p h a r i a m
s a r u s a r a m a		j e r u s a l e m	s a r u s a l e m	j e r u s a l e m	s a l e m	j e r u s a l e m	j e r u s a l e m
t o b e h o		t o b e h o	t o b e h o	t o b e h o	t h e r e s	t o b e h o	t o b e h o
s a k i a s i		j a c i a s	s a c i a s	j a c i a s	j a s a s	j a c i a s	j a c i a s
s u s i e		s u s	s u s	s u s	j u s e a	s u s	s u s
s o r i m a w e		s o l y m a s	s o l y m a s	s o l y m a s	j o s i a	s o l y m a s	s o l y m a s
i r a h t a o		i l a r t h a	i l a r t h a	i l a r t h a	i d a t h a	i l a r t h a	i l a r t h a
k i o p a g a		c h i o p a s	c i o p a g a	c h i o p a s	c o p e s	c h i o p a s	c h i o p a s
k a m a r i a		c a m a r i a	c a m a r i a	c a m a r i a	c a m i a	c a m a r i a	c a m a r i a
s e r u b a b e r a w e		j e r u b a b e r	j e r u b a b e r	j e r u b a b e r	h e r e b	j e r u b a b e r	j e r u b a b e r
s i s a		s i s	s i a s	s i s	j i s a s	s i s	s i s
a r i w a i		a r i a h	a r i n a i	a r i a h	l y s i a	a r i a h	a r i a h
m i r a r u r o n s a b e		m i r a l u l e s a b e	m i l l u l o n a s	m i r a l u l e s a b e	h o r e s	m i r a l u l e s a b e	m i r a l u l e s a b e
s i k e b a		s i c e b a	s h e b a	s i c e b a	s a n a	s i c e b a	s i c e b a
a r a h o		a r a s	a r a h o	a r a s	h a r e s	a r a h o	a r a s
e r o t i		h e r o d	h e r o d	h e r o d	e l i o d	h e r o d	h e r o d
i r o w e	a	e l o h	i d u m	e l o h	a l i s	e l o h	e l o h
a r e t a e		a r e t u s	a r e t h a	a r e t u s	a l e d	a r e t u s	a r e t u s
i s i p i		i s i p h	i s i p p i	i s i p h	c i s i p h i a	i s i p h	i s i p h
p o a n e g i e		b o a n e g e s	b o a n e g i a	b o a n e g e s	b o r e g	b o a n e g e s	b o a n e g e s
