unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e g i p t o	m i t s r a y i m	e g i p t u s	e g i p t u s	e g i p t u s	e g i p h a	e g i p t u s	e g i p t u s
a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h	a b r a h a m	a b r a h a m
l a m e c	l a m e c h	l a m e c	l a m e c	l a m e c	l a m e n	l a m e c	l a m e c
e m a u s		e m a u s	e m a u s	e m a u s	e m a	e m a u s	e m a u s
t i c t a j p a l o a j	t i n n o u p a l o	t y c h t a j p a l o a j	t i c t a j p a l o a j	t y c h t a j p a l o a j	h i s h a l o n	t i c t a j p a l o a j	t y c h t a j p a l o a j
c o s a m	k o s h a m	c o s a m	c o s a m	c o s a m	c h o s	c o s a m	c o s a m
p u b l i o	p u b l i u s	p u b l i u s	p u b l i u s	p u b l i u s	p u l i u s	p u b l i u s	p u b l i u s
j e f t e		j e p h t e	j e p h t e	j e p h t e	j e p h	j e p h t e	j e p h t e
e v a	e v a	e v a	e v a	e v a	e l a	e v a	e v a
h e b r e o	h e b r e u s	h e b r e u s	h e b r e u s	h e b r e u s	h e b r e	h e b r e u s	h e b r e u s
s o s t e n e s		s o s t e n n e s	s o s t e n n e s	s o s t e n n e s	s h o s t e n	s o s t e n n e s	s o s t e n n e s
c i l i c i a	c i l y c i a	c i l l i c i a	c i l l i c i a	c i l l i c i a	c y l y c h	c i l l i c i a	c i l l i c i a
i d u m e a j c o p a c a	i d u m e	i d d u m e a r c o p a c h a	i d u m e a j c o p a c h a	i d d u m e a r c o p a c h a	h i a m a	i d d u m e a r c o p a c h a	i d d u m e a r c o p a c h a
a p o l i o n		a p o l l i o	a p o l l i o n	a p o l l i o	a p o l	a p o l l i o	a p o l l i o
m a h a l a l e e l	m a h a l a l e e l	m a h a l a l e e l	m a h a l a l e e l	m a h a l a l e e l	m a m a l	m a h a l a l e e l	m a h a l a l e e l
i l i r i c o		i l i r i c u s	i l i r i c u s	i l i r i c u s	i l y c h i a	i l i r i c u s	i l i r i c u s
n a h u m	n a h u m	n a h u m	n a h u m	n a h u m	n a n u m	n a h u m	n a h u m
e u n i c e	e u n i c e	e u n i c e	e u n i c e	e u n i c e	e l i c h a	e u n i c e	e u n i c e
c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a	c a n d a c e	c a n d a c e
f i l e t o	p h i l e t u s	p h i l e t u s	p h i l e t u s	p h i l e t u s	p i l e t h	p h i l e t u s	p h i l e t u s
c e s a r		c e s a r	c e s a r	c e s a r	c e s a r	c e s a r	c e s a r
j u d a		j u d a	j u d a	j u d a	j u d	j u d a	j u d a
e s l i	s l i	e s l i	e s l i	e s l i	e z i	e s l i	e s l i
e l i m a s	e l i m a s	e l i m a s	e l i m a s	e l i m a s	e l i m a s	e l i m a s	e l i m a s
a b i l i n i a j c o p a c a	a b y l i n	a b i l i n i a r c o p a c h a	a b i l i n i a j c o p a c h a	a b i l i n i a r c o p a c h a	a b i l	a b i l i n i a r c o p a c h a	a b i l i n i a r c o p a c h a
a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
f e l i p e	p h o e l i p e	p h e l i p p e	p h e l i p p e	p h e l i p p e	p h e l i p h a	p h e l i p p e	p h e l i p p e
s i r o f e n i c i a	s y r o p h o e n i c i a	s i r o p h o e n i c i a	s i r o p h e n i c i a	s i r o p h o e n i c i a	s y r o n i	s i r o p h o e n i c i a	s i r o p h o e n i c i a
a m o s		a m o s	a m o s	a m o s	a m o s	a m o s	a m o s
m a r t a	m a r t h a	m a r t h a	m a r t h a	m a r t h a	m a r t h a	m a r t h a	m a r t h a
s a m a r i a	s h o m e r o n	s a m a r i a	s a m a r i a	s a m a r i a	s m e m	s a m a r i a	s a m a r i a
a l f e o	a l p a e u s	a l p h e u s	a l p h e u s	a l p h e u s	a l i p h o l	a l p h e u s	a l p h e u s
l i s t r a	l y s t r a	l i s t r a	l i s t r a	l i s t r a	l y s	l i s t r a	l i s t r a
m a t a t a	m a t t h a t h a	m a t t h a t h a	m a t t h a t h a	m a t t h a t h a	m a t t h a	m a t t h a t h a	m a t t h a t h a
g a b r i e l	g a b r i e l	g a b r i e l	g a b r i e l	g a b r i e l	g a b r i e l	g a b r i e l	g a b r i e l
b a r t i m e o	b a r t i m a e u s	b a r t h i m a e u s	b a r t i m a e u s	b a r t h i m a e u s	b a r t h e m e	b a r t i m a e u s	b a r t i m a e u s
g o g	g o g	g o g	g o g	g o g	g o g	g o g	g o g
d r u s i l a	d r i s i l a	d r u s i l a	d r u s i l a	d r u s i l a	d r u s h	d r u s i l a	d r u s i l a
e n o s		e n o s	e n o s	e n o s	e n o n	e n o s	e n o s
s u s a n a	s h u s h a n a	s h u s a n a	s h u s a n n a	s h u s a n a	s h e n a n	s h u s a n a	s h u s a n a
f i l a d e l f i a	p h i l a d e l p h i a	p h i l a d d a e l p h i a	p h i l a d e l p h i a	p h i l a d d a e l p h i a	p i l o l i a	p h i l a d e l p h i a	p h i l a d e l p h i a
t i m o t e o	t i m o t h e u s	t i m o t h e u s	t i m o t h e u s	t i m o t h e u s	t i m m a e e	t i m o t h e u s	t i m o t h e u s
b e l e n		b e l e m	b e l e n	b e l e m	b e l e n	b e l e n	b e l e n
c r i s t o	c r i s t u s	c r i s t u s	c r i s t u s	c r i s t u s	c r i s t u s	c r i s t u s	c r i s t u s
f e l i x		p h e l i x	p h e l i x	p h e l i x	p e l i	p h e l i x	p h e l i x
e f r a i n		e p h r a i n	e p h r a i n	e p h r a i n	e p h r a i	e p h r a i n	e p h r a i n
j e s u s		j e s u s	j e s u s	j e s u s	j e s h	j e s u s	j e s u s
t o l e m a i d a	t h o l e m e m e s	t h o l e m a i d a	t h o l e m a i d a	t h o l e m a i d a	u l e m	t h o l e m a i d a	t h o l e m a i d a
c l e o f a s	c l e o p a s	c l e o p a s	c l e o p a s	c l e o p a s	c l e o p	c l e o p a s	c l e o p a s
n a c o r	n a c o r	n a c o r	n a c o r	n a c o r	n a c o r	n a c o r	n a c o r
e l i u d	e l i u d	e l i u d	e l i u d	e l i u d	e l i	e l i u d	e l i u d
s o p a t e r		s o p a t e r	s o p a t e r	s o p a t e r	s o p a r	s o p a t e r	s o p a t e r
j o e l	j o e l	j o e l	j o e l	j o e l	j o l e	j o e l	j o e l
g a l a c i a	g a l a c i a	g a l a c i a	g a l a c i a	g a l a c i a	g a l a k	g a l a c i a	g a l a c i a
m i r a	m i r a	m i r a	m i r a	m i r a	m y r a h	m i r a	m i r a
c i s	c i s	c i s s	c i s s	c i s s	k y s	c i s s	c i s s
a c a y a	a c h a n	a c h a i a	a c a i a	a c h a i a	a c h a	a c h a i a	a c h a i a
f e l i p e	p h o e l i p e	p h e l i p p e	p h e l i p p e	p h e l i p p e	p h e l i p h a	p h e l i p p e	p h e l i p p e
