unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a k a y	e c e	a c a i	a c a i	a c a i	a c h a i a h	a c a i	a c a i
l a s h e	l a c e a	l a s h e	l a s h e	l a s h e	l o s i e	l a s h e	l a s h e
h e n @ k w @		h e n o c o	h e n o c o	h e n o c o	j e n c u s	h e n o c o	h e n o c o
a p i w @ s @		a p i o s	a p i u s e	a p i o s	a p h o o s	a p i o s	a p i o s
k @ r e t @		c o r e t h	c h r e t u s	c o r e t h	c o r e t h u s	c o r e t h	c o r e t h
p @ b @ l i y @ s @		p o b u l i u s	p o b u l i u s	p o b u l i u s	p o b i o s	p o b u l i u s	p o b u l i u s
z h e r @ w z a l e m		j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u s	j e r u s a l e m	j e r u s a l e m
f e s @ t @ s @		p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s
e r @ d @		e r o d e s	e r o d e s	e r o d e s	e r u d	e r o d e s	e r o d e s
e s p a NG @		e s s p a n u	e s s p h n o	e s s p a n u	e s p a n	e s s p a n u	e s s p a n u
k w @ l @ d @		c o l o d e s	c o l o d e s	c o l o d e s	c o l o d	c o l o d e s	c o l o d e s
i z a k @		i s a c u s	i s a c u s	i s a c u s	i s h a c h	i s a c u s	i s a c u s
a p i y a	a p i a h	a p i a	a p i a	a p i a	a p h i a	a p i a	a p i a
t a r s @		t a r s u s	t a r s u s	t a r s u s	t a r s u s	t a r s u s	t a r s u s
e z a y	e s h a i a	e z a i	e z a i	e z a i	e s h i a h	e z a i	e z a i
n a r s h i s @		n a r s i s	n a r s i s	n a r s i s	n a r c i s u s	n a r s i s	n a r s i s
e f @ r a t @		e p h r a t h	e p h r a t h	e p h r a t h	e p h a t h u s	e p h r a t h	e p h r a t h
k a p a d @ s @		c a p a d u s	c a p a d u s	c a p a d u s	c a p a n	c a p a d u s	c a p a d u s
f i l e t @		p h i l e t u s	p h i l e t u s	p h i l e t u s	p h i l o t	p h i l e t u s	p h i l e t u s
k a y i f @		c a i p h o	c a i p h o	c a i p h o	c a d i p p h	c a i p h o	c a i p h o
z h @ w d e		j u d e	j u d e	j u d e	j o d e	j u d e	j u d e
e w b @ l @ s @		e u b u l u s	e u b u l u s	e u b u l u s	e b o l	e u b u l u s	e u b u l u s
e m a w @ s @		e m a o s	e m a o s	e m a o s	e m o s	e m a o s	e m a o s
a b i y @ d @		a b i u d	a b i u d	a b i u d	a b i o d	a b i u d	a b i u d
