unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
f n i g u	p h e n i g u s	p h e n i g u s	p h e n i g u s	p h e n i g u s	p h e r u g	p h e n i g u s	p h e n i g u s
a k a y a	a c h i a h	a c h i a h	a c h i a	a c h i a h	a c h i a h	a c h i a h	a c h i a h
l a w d i s y a	l a o d i k e i a	l a o d i k e i a	l a o d i k e i a	l a o d i k e i a	l o d i s i a	l a o d i k e i a	l a o d i k e i a
i n o k	e n o k	e n o k	e n o k	e n o k	i n o c	e n o k	e n o k
a r a b y a	a r a b i a	a r a b i a	a r a b i a	a r a b i a	a r a b i a	a r a b i a	a r a b i a
k r i t	c r i t	c r e t	c r e t	c r e t	c r i t h	c r e t	c r e t
p u t y o l i	p o t o l e e	p u t i o l y	p o t i o l y	p u t i o l y	p u t i a	p u t i o l y	p u t i o l y
d y e f t a h		j e p h t a h	j e f t a h	j e p h t a h	j e s t h a s	j e p h t a h	j e p h t a h
f i l i k	p h i l e c h	p h i l e c h	p h i l e c h	p h i l e c h	p h i l c i s	p h i l e c h	p h i l e c h
h i r m i s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m i s	h e r m e s	h e r m e s
s o s i p a t r u	s a u s e p a t r u s	s o s i p a t r u s	s o s i p a t r u s	s o s i p a t r u s	s o s e p a t u s	s o s i p a t r u s	s o s i p a t r u s
k l a w d y u	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i a	c l a u d i u s	c l a u d i u s
i d u m y a	e d u m i a	e d u m i a	e d u m i a	e d u m i a	e d e m	e d u m i a	e d u m i a
a k w i l a	a c i l l a	a c h i l a	a c h u e l a	a c h i l a	a c h i l a	a c h i l a	a c h i l a
m a s i d u n y a	m a k e d u n i a	m a k e d u n i a	m a k e d u n i a	m a k e d u n i a	m a s e d u n i a	m a k e d u n i a	m a k e d u n i a
i l i r i k u m	e l i r i c u m	e l i r y q u m	e l i r y q u m	e l i r y q u m	e l i r i s	e l i r y q u m	e l i r y q u m
