unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a f e k		a p h e k	a p h e k	a p h e k	a p h e k	a p h e k	a p h e k
e r i kh o n		e r e c h o n	e r e c h o n	e r e c h o n	e r i c h	e r e c h o n	e r e c h o n
t a r s i s		t a r s i s	t a r s i s	t a r s i s	t a r s e s	t a r s i s	t a r s i s
e d e m		e d e m	e d e m	e d e m	j e d e m	e d e m	e d e m
m a t e ia		m a t h e a	m a t h e a	m a t h e a	m a t t e a	m a t h e a	m a t h e a
t i m e e v i ia t		t i m e e b i a t h	t i m e e b i a t u s	t i m e e b i a t h	t i m e b	t i m e e b i a t h	t i m e e b i a t h
v a g u ia		b a g u a h	b a g u a h	b a g u a h	b a g u a	b a g u a h	b a g u a h
k e s a r ia		c a e s a r a h	c a e s a r a h	c a e s a r a h	c e s h a r	c a e s a r a h	c a e s a r a h
e f r a t a		e p h r a t h a	e p h r a t h a	e p h r a t h a	j e p h r a h	e p h r a t h a	e p h r a t h a
s i r i ia		s h i r i a h	s h i r i a h	s h i r i a h	s i r i a	s h i r i a h	s h i r i a h
s a r a ia		s a r a h	s a r e a h	s a r a h	s a r a h	s a r a h	s a r a h
v a r u kh		b a r u c h	b a r u c h	b a r u c h	b a r u c h	b a r u c h	b a r u c h
r ' k a		r e c a	r e c a	r e c a	r e c a	r e c a	r e c a
e n a k o v i		e n a c o b i	e n a c o b i	e n a c o b i	e n a k	e n a c o b i	e n a c o b i
v a a l i m i t e		b a a l i m i t e	b a a l i m i t e	b a a l i m i t e	b a a l i m	b a a l i m i t e	b a a l i m i t e
i s a a r		i s a a r	i s a a r	i s a a r	i s a a r	i s a a r	i s a a r
a s a		a s h a	a s h a	a s h a	a s h a h	a s h a	a s h a
m e s o p o t a m i ia		m e s o p o t h a m m i a h	m e s o p o t h a m i a h	m e s o p o t h a m m i a h	m e s h o	m e s o p o t h a m m i a h	m e s o p o t h a m m i a h
m a l t a		m a l t h a	m a l t h a	m a l t h a	m a l t t a h	m a l t h a	m a l t h a
o l i v e m a		o l i b e m a	o l i b e m a	o l i b e m a	o l i b a	o l i b e m a	o l i b e m a
g a i i		g a i	g a i	g a i	g a i t h	g a i	g a i
v o s o r		b o s h o r	b o s h o r	b o s h o r	b o s h o r	b o s h o r	b o s h o r
iu d e i n		j u d e i n	j u d e i n	j u d e i n	j u h e n	j u d e i n	j u d e i n
s o l o m o n		s o l l o m o n	s o l o m o n	s o l l o m o n	s o l o m	s o l o m o n	s o l l o m o n
s i l i m		s h i l i m	s h i l i m	s h i l i m	s i l i m	s h i l i m	s h i l i m
a r a n		a r a n	a r a n	a r a n	a r a n	a r a n	a r a n
s i r a k u z a		s h i r a k k u z a	s h i r a k k u z a	s h i r a k k u z a	s y r a h u s	s h i r a k k u z a	s h i r a k k u z a
k o r e i		c o r e e	c o r e i	c o r e e	c o r e	c o r e e	c o r e e
t i kh i k		t i c h i c	t i h i k	t i c h i c	t y c h i	t i c h i c	t i c h i c
e n o kh		e n o c h	e n o c h	e n o c h	e n o c h	e n o c h	e n o c h
ia kh i n		a h i n	a c h i n	a h i n	j a h i n	a h i n	a h i n
b a b a		b l a b l a	l a b a	b l a b l a	e l a h	b l a b l a	b l a b l a
a v i l i n i ia		a b i l i n i a h	a b i l i n i a h	a b i l i n i a h	a b i l	a b i l i n i a h	a b i l i n i a h
u ch e n		u m e n	u m e n	u m e n	j u h e n	u m e n	u m e n
l e v i i		l e b i u s	l e b i i	l e b i u s	l e b i a	l e b i u s	l e b i u s
i z r a i l		e z r a i l	i z r a i l	e z r a i l	j e r a h	i z r a i l	e z r a i l
k l e o p a		c l e o p a	c l e o p a	c l e o p a	c e p p a s	c l e o p a	c l e o p a
kh e v e r		h e b e r	c h e b e r	h e b e r	c e b e r	h e b e r	h e b e r
a m o s		a m o s	a m o s	a m o s	a m o s h	a m o s	a m o s
a v r a m		a b r a m	a b r a m	a b r a m	a b r a m	a b r a m	a b r a m
f e s t		p h e s u s t	p h e s u s t u s	p h e s u s t	p h e s t u s	p h e s u s t	p h e s u s t
o f r a		o p h r a	o p h r a	o p h r a	o p h o r	o p h r a	o p h r a
v a l a k		b a l l a c	b a l a k	b a l l a c	b a l a k	b a l l a c	b a l l a c
s e n a kh i r i m		s h e n a c h i r i m	s h e n a c h i r i m	s h e n a c h i r i m	s e n a h	s h e n a c h i r i m	s h e n a c h i r i m
a s a i ia		a s h a i a h	a s h a i a h	a s h a i a h	a s h a i	a s h a i a h	a s h a i a h
a r a m		a r a m	a r a m	a r a m	a r a m	a r a m	a r a m
a kh a i k a		a c h a i c a	a c h a i c a	a c h a i c a	a c h a i	a c h a i c a	a c h a i c a
n a r e ch e n a		n a r e m e n a	n a r e m e n a	n a r e m e n a	n a r e p h	n a r e m e n a	n a r e m e n a
o n a n		o n a n	o n a n	o n a n	h o n a n	o n a n	o n a n
e l i f a l e t		e l i p h a l e t h	e l i p h a l e t h	e l i p h a l e t h	e l i p h a	e l i p h a l e t h	e l i p h a l e t h
s v e shch e n i k		s h b e u e n i c	s h b e e r e a n i c	s h b e u e n i c	s b e t h e n	s h b e u e n i c	s h b e u e n i c
m e s i ia		m e s i a h	m e s i a h	m e s i a h	m e s h i a h	m e s i a h	m e s i a h
kh o r m a		c h o r m a	c h o r m a	c h o r m a	h o r m a h	c h o r m a	c h o r m a
i l i ia		e l i a h	e l i a h	e l i a h	i l i a	e l i a h	e l i a h
a v i u d		a b i u d	a b i h u d	a b i u d	a b i u d	a b i u d	a b i u d
k e d r o n		k e d r o n	k e d r o n	k e d r o n	c e d r o s	k e d r o n	k e d r o n
e p a f r a s		e p a p h r a s	e p a p h r a s	e p a p h r a s	e p h a p h	e p a p h r a s	e p a p h r a s
a n d r o n i k a		a n d r o n i c a	a n d r o n i c a	a n d r o n i c a	a n d r o s	a n d r o n i c a	a n d r o n i c a
d a m a r		d a m a r	d a m a r	d a m a r	d a m a r	d a m a r	d a m a r
s a d u k e i		s h a d u k e i	s h a d u k e i	s h a d u k e i	s a d u k	s h a d u k e i	s h a d u k e i
e kh o n i ia		e c h o n i a h	e c h o n i a h	e c h o n i a h	e p h o n	e c h o n i a h	e c h o n i a h
g a z a		g a z a	g a z a	g a z a	g a z a h	g a z a	g a z a
