unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a p e l e s	a p e l e s	a p e l e s	a p e l e s	a p e l e s	a p h e l e s	a p e l e s	a p e l e s
j e r o b o a m	j e r u b b o a m	j e r o b o a m	j e r e h o b o a m	j e r o b o a m	j e r o b o b	j e r o b o a m	j e r o b o a m
t a r s o	t a r s u s	t a r s h u s	t a r s h u s	t a r s h u s	t a r s h o s	t a r s h u s	t a r s h u s
e d o m	e d o m	e d o m	e d u m	e d o m	e d o m	e d o m	e d o m
b a r s a b a s		b a r s h a b b a s	b a r s h a b b a s	b a r s h a b b a s	b a r s h a b b a s	b a r s h a b b a s	b a r s h a b b a s
b a r t o l o m e		b a r t o l o m e	b a r t o l o m e	b a r t o l o m e	b a r t o l u m e s	b a r t o l o m e	b a r t o l o m e
b i l h a	b i l h a	b i l h a	b i l h a	b i l h a	b i l l a h	b i l h a	b i l h a
c a l d e a	c a l d e a	c a l d e a	c a l d a e a	c a l d e a	c a l d e a	c a l d e a	c a l d e a
e f r o n		e p h r o n	e p h r o n	e p h r o n	e p h r o n	e p h r o n	e p h r o n
s i r i a	s y r i a	s h i r i a	s s y r i a	s h i r i a	s y r i a	s y r i a	s h i r i a
s e n a q u e r i b	s h e n a c h e r i b	s h e n a c h e r i b	s h e n a c h e r i b	s h e n a c h e r i b	z e n a c e r i b	s h e n a c h e r i b	s h e n a c h e r i b
b a r t i m e o	b a r t i m a e u s	b a r t i m a e u s	b a r t i m a e u s	b a r t i m a e u s	b a r t i m e u s	b a r t i m a e u s	b a r t i m a e u s
j a h a t	j a h a t h	j a h a t h	j a h a t h	j a h a t h	j a h a t h a t	j a h a t h	j a h a t h
a n a		a n n a	a n n a	a n n a	a n a h	a n n a	a n n a
b a a l a	b a a l a	b a a l a	b a a l a	b a a l a	b a a l a h	b a a l a	b a a l a
j o a b	j o a b	j o a b	j e h o a b	j o a b	j o a b	j o a b	j o a b
a s a	a s a	a s h a	a s h a	a s h a	a s a a h	a s h a	a s h a
c r i s t o	c r i s t u s	c r i s t u s	c h r i s t u s	c r i s t u s	c h r i s t u s	c r i s t u s	c r i s t u s
m a n a e n		m a n a h s a n	m a n a e n	m a n a h s a n	m a n a e n	m a n a e n	m a n a e n
