unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e b e r	e b e r	e b e r	e b e r	e b e r	e b e r	e b e r	e b e r
a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a r	a b r a h a m	a b r a h a m
l a m e k	l a m e k	l a m e c	l a m e c	l a m e c	l a m e k	l a m e k	l a m e c
e l y m a s	e l y m a s	e l y m a s	e l y m a s	e l y m a s	e l i m a s	e l y m a s	e l y m a s
a p f i a	a p p h i a	a p p h i a	a p p h i a	a p p h i a	a p p i a	a p p h i a	a p p h i a
k o s a m	k o s a m	c h o s a m	c o s a m	c h o s a m	c o s a m	k o s a m	c h o s a m
k u a r t u s	c u a r t u s	c h u a r t u s	c u a r t u s	c h u a r t u s	c u a r t u s	c u a r t u s	c u a r t u s
j e f t a	j e p h t h a	j e h t h a	j e p h t a	j e h t h a	j e p h a	j e h t h a	j e h t h a
e u f r a t	e u p h r a t h	e u p h r a t	e u p h r a t	e u p h r a t	e u p r a r	e u p h r a t	e u p h r a t
a u r a n	a u r a n	a u r a n	a u r a n	a u r a n	a u r a n	a u r a n	a u r a n
s t a k i s	s t a k i s	s t a c h i s	s t a c h i s	s t a c h i s	s t a c i s	s t a c h i s	s t a c h i s
s i l i s i a	s i l i c i a	s i l i s i a	s i l i s i a	s i l i s i a	s y l i s	s i l i s i a	s i l i s i a
i d u m e a	i d u m e a	i d u m e a	i d u m e a	i d u m e a	i d u m e a	i d u m e a	i d u m e a
a p o l i o n	a p o l i o n	a p o l i o n	a p o l l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n
a m y n e n	a m y n e n	a m y n e n	a m y n e n	a m y n e n	a m y n e n	a m y n e n	a m y n e n
i l i r i e	i l y r i a	i l i r i e	i l i r i e	i l i r i e	i l y r e	i l i r i e	i l i r i e
n a t a n a e l	n a t a n a e l	n a t a n a e l	n a t a n a e l	n a t a n a e l	n a t a n	n a t a n a e l	n a t a n a e l
e t i o p i	e t i o p i	e t i o p i	e t i o p i	e t i o p i	e t i o p	e t i o p i	e t i o p i
e t i o p i	e t i o p i	e t i o p i	e t i o p i	e t i o p i	e t i o p	e t i o p i	e t i o p i
f i l i p i	p h i l i p i	p h i l i p i	p h i l i p i	p h i l i p i	p i l i p i p	p h i l i p i	p h i l i p i
k a j a f a s	c a i a p h a s	c a i a p h a s	c a i a p h a s	c a i a p h a s	c a u a p	c a i a p h a s	c a i a p h a s
j u d a	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a
e s a u	e s a u	e s a u	e s a u	e s a u	e s a u s	e s a u	e s a u
e l i s a b e t	e l i s a b e t h	e l i s a b e t h	e l i s a b e t	e l i s a b e t h	e l i s	e l i s a b e t h	e l i s a b e t h
a b i l e n e	a b i l e n e	a b y l e n e	a b i l e n e	a b y l e n e	a b i l e n	a b i l e n e	a b i l e n e
a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
f i l o l o g u s	p h i l o l o g u s	p h i l o l o g u s	p h i l o l l o g u s	p h i l o l o g u s	p i l o g u s	p h i l o l o g u s	p h i l o l o g u s
t a b i t a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i a	t a b i t h a	t a b i t h a
a m o s	a m o n	a m o s	a m o s	a m o s	a m o s	a m o s	a m o s
m a t a t i a s	m a t t a t i a s	m a t t a t i a s	m a t t a t h i a s	m a t t a t i a s	m a t t i a s	m a t t a t i a s	m a t t a t i a s
s a m u e l	s a m u e l	s a m u e l	s a m u e l	s a m u e l	s a m u l	s a m u e l	s a m u e l
a l f e o	a l p h e u s	a l p h e o	a l p h e o	a l p h e o	a l o p	a l p h e o	a l p h e o
m a s e d o n i e	m a k e d u n i a	m a s e d o n i a	m a s e d o n i a	m a s e d o n i a	m a s e d i a	m a s e d o n i a	m a s e d o n i a
m a t a t	m a t t a t h	m a t t a t h	m a t t a t h	m a t t a t h	m a t a t	m a t t a t h	m a t t a t h
f e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p e s t u s	p h e s t u s	p h e s t u s
b a r t o l o m e u s	b a r t o l o m e u s	b a r t o l o m e u s	b a r t o l o m e u s	b a r t o l o m e u s	b a r t o l	b a r t o l o m e u s	b a r t o l o m e u s
g e t s e m a n e	g e t h p h e m a n e	g e t s e m a n e	g e t s e m a n e	g e t s e m a n e	g e t s e m	g e t s e m a n e	g e t s e m a n e
d o r k a s	d o r c a s	d o r c a s	d o r c a s	d o r c a s	d o r c a s	d o r c a s	d o r c a s
h e n o k	h e n o k	h e n o c h	h e n o c	h e n o c h	h e n o c	h e n o k	h e n o c h
s i k e m	s y c h e m	s i c h e m	s i c h e m	s i c h e m	s i c e m	s i c h e m	s i c h e m
f i l i p u s	p h i l i p o s	p h i l i p p u s	p h i l i p u s	p h i l i p p u s	p i l i p u s	p h i l i p p u s	p h i l i p p u s
t i t i u s	t i t i u s	t i t i u s	t i t i u s	t i t i u s	t i t y u s	t i t i u s	t i t i u s
b e t s a i d a	b e t h p h a i d a	b e t s a i d a	b e t s a i d a	b e t s a i d a	b e t u s	b e t s a i d a	b e t s a i d a
m i l e t e	m i l e t e	m i l e t e	m i l e t e	m i l e t e	m i l e t e	m i l e t e	m i l e t e
e u t i k u s	e u t i c u s	e u t i c u s	e u t i c u s	e u t i c u s	e u t i c u s	e u t i c u s	e u t i c u s
e f a t a	e p h a t h a	e p h a t h a	e p h a t h a	e p h a t h a	e p a t	e p h a t h a	e p h a t h a
j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s
s o p a t e r	s o p a t e r	s o p a t e r	s o p a t e r	s o p a t e r	s o p a r	s o p a t e r	s o p a t e r
k l o p a s	c l o p a s	c l o p a s	c l o p a s	c l o p a s	c l o p a s	c l o p a s	c l o p a s
n a f t a l i	n a p h t a l y	n a p h t a l i	n a p h t a l i	n a p h t a l i	n a p p a l i m	n a p h t a l i	n a p h t a l i
e l i s a	e l i s a	e l i s a	e l i s a	e l i s a	e l i s	e l i s a	e l i s a
r a k e l	r a c e l	r a c h e l	r a c e l	r a c h e l	r a c e l	r a c e l	r a c e l
j o e l	j o e l	j o e l	j o e l	j o e l	j o e l	j o e l	j o e l
g e r a s a	g e r a s e	g e r a s a	g e r a s a	g e r a s a	g e r a s	g e r a s a	g e r a s a
n a g a i	n a g a i	n a g a i	n a g a i	n a g a i	n a g a i a	n a g a i	n a g a i
k i s	c h i s	c i s	c h i s	c i s	c i s s	c h i s	c h i s
a k a j e	a c h a e	a c h a e	a c h a j e	a c h a e	a c a u a	a c h a e	a c h a e
f l e g o n	p h l e g o n	p h l e g o n	p h l e g o n	p h l e g o n	p o g o n	p h l e g o n	p h l e g o n
