unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e g y p t	e g y p t	e g y p t	e g y p t	e g y p t	e g g p t h a	e g y p t	e g y p t
b e n j a m i n		b e n j a m u n	b e n j a m i n	b e n j a m u n	b e n u s	b e n j a m i n	b e n j a m u n
s a l o m o u n		s a l o m o u n	s a l o m o u n	s a l o m o u n	s a l o m	s a l o m o u n	s a l o m o u n
a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l i o	a p o l l y o n	a p o l l y o n
k r e s c e n s	c r e z e n	c r e s c e n s	c r e s c e n s	c r e s c e n s	c e s h e n	c r e s c e n s	c r e s c e n s
r a c h a b	r a h a b	r a h b	r a c h a b	r a h b	r a h a b	r a c h a b	r a h b
j e r e m i a s e		j e r e m i a s	j e r e m i a s	j e r e m i a s	j e r e m	j e r e m i a s	j e r e m i a s
e v a	e u	e v a	e v a	e v a	e u s a	e v a	e v a
h e r m o g e n a	h e r m o g e n n a	h e r m o g e n a	h e r m o g e n a	h e r m o g e n a	h e r m	h e r m o g e n a	h e r m o g e n a
s l o v u m		s l o v e m	s l o v u m	s l o v e m	s l o l	s l o v u m	s l o v e m
k l a u d i a	c l a u d i a	c l a u d i a	c l a u d i a	c l a u d i a	c l u d i a	c l a u d i a	c l a u d i a
i l l y r i i	i l l y r i a	i l l y r i a	i l l y r i a	i l l y r i a	i l y c r i a	i l l y r i a	i l l y r i a
a p o l l o s	a p o l l u s	a p o l l u s	a p o l l o s	a p o l l u s	a p o l i o s	a p o l l u s	a p o l l u s
m a n a s e s	m a n a s e s	m a n a s e s	m a n a s e s	m a n a s e s	m a n a s e s	m a n a s e s	m a n a s e s
i m m a n u e l	i m m a n u e l	i m m a n u e l	i m m a n u e l	i m m a n u e l	i m a n u e l	i m m a n u e l	i m m a n u e l
n i k a n o r a	n i c a n o r a	n i c h a n o r a	n i c a n o r a	n i c h a n o r a	n i c a o r	n i c a n o r a	n i c a n o r a
e u n i k e		e u n i c e	e u n i c e	e u n i c e	e u n i c e	e u n i c e	e u n i c e
k a p p a d o k i i	c a p p a d o k i a	c a p p a d o k i a	c a p p a d o k i a	c a p p a d o k i a	c a p p a d	c a p p a d o k i a	c a p p a d o k i a
f l e g o n t a	p h l e g o n t u s	p h l e g o n t u s	p h l e g o n t u s	p h l e g o n t u s	p h e e g	p h l e g o n t u s	p h l e g o n t u s
k a i f a s		c a i p a s	c a i p a s	c a i p a s	c a i p h a s	c a i p a s	c a i p a s
j u d a	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a
c h e s l i h o	c h e s l i h	c h e s l i h o	c h e s l i h o	c h e s l i h o	c h e s l i a	c h e s l i h o	c h e s l i h o
e l y m a s	e l y m a s	e l y m a s	e l y m a s	e l y m a s	e l i m a s	e l y m a s	e l y m a s
a b i l e n y		a b i l e n e	a b i l e n e	a b i l e n e	a b i l e n	a b i l e n e	a b i l e n e
a b e l		a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
f e b e		p h e b e	f e b e	p h e b e	p e b e b	f e b e	p h e b e
t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r u s l l u s	t e r t u l l u s	t e r t u l l u s
a m o n	a m o n	a m o n	a m o n	a m o n	a m o n	a m o n	a m o n
m a t e j e		m a t t a h y e	m a t e e	m a t t a h y e	m a t t a	m a t t a h y e	m a t t a h y e
s a r a		s a r a	s a r a	s a r a	s a r a r	s a r a	s a r a
