unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e l a m	e l a m	e l a m	e l a m	e l a m	e l a m	e l a m	e l a m
a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b a m	a b r a h a m	a b r a h a m
l a w o d i k a y a	l a o d i c e a	l a o d i c a i a	l a o d i c a i a	l a o d i c a i a	l a d d i a	l a o d i c a i a	l a o d i c a i a
e n o s i	e n o s	e n o s	e n o s	e n o s	e n o s	e n o s	e n o s
a f i y a	a p h i a	a p h i a	a p h i a	a p h i a	a p h i a	a p h i a	a p h i a
k e r e t i	c r e t	c e r e t h	c e r e t	c e r e t h	c e r e t h	c e r e t h	c e r e t h
a j u	a r g	a j u	a j u	a j u	a j	a j u	a j u
y e r u s a l e m		j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u s	j e r u s a l e m	j e r u s a l e m
f e s i t o s i		p h e s t o s	p h e s t o s	p h e s t o s	p e s t h o s	p h e s t o s	p h e s t o s
h e r o d e	h e r o d e s	h e r o d e	h e r o d e	h e r o d e	h e r o s	h e r o d e	h e r o d e
a s e	a s h e	a s e	a s e	a s e	a s h e	a s e	a s e
k a l o d i s i	c l a u d i s	c a l o d i s	c a l o d i s	c a l o d i s	c a l o s	c a l o d i s	c a l o d i s
i z a k i	e s a k	i z a c h	i z a c i	i z a c h	m a c h i a	i z a c h	i z a c h
a p o l i n	a p o l i n	a p o l i n	a p o l i n	a p o l i n	a p p o l	a p o l i n	a p o l i n
m a k e d o n i y a		m a k e d o n i a	m a k e d o n i a	m a k e d o n i a	m a k h i a	m a k e d o n i a	m a k e d o n i a
e s a y a	e s h a i a	e s a i a	e s a i a	e s a i a	e s h a	e s a i a	e s a i a
n a f a t a l i	n a p h a t a l	n a p h a t a l i	n a p h a t a l i	n a p h a t a l i	n a p h a l	n a p h a t a l i	n a p h a t a l i
y u f a r a t i	j u p h a r t	j u h a r a t i	j u h a r a t i	j u h a r a t i	j o p h a r	j u h a r a t i	j u h a r a t i
k a p a d o s i y a	c a p a d o s i a	c a p a d o s i a	c a p a d o s i a	c a p a d o s i a	c a p h o s	c a p a d o s i a	c a p a d o s i a
f i l e m o n	p h i l e m o n	p h i l e m o n	p h i l e m o n	p h i l e m o n	p i l e m o m	p h i l e m o n	p h i l e m o n
