unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
s a u l	s a u l	s a u l	s a u l	s a u l	s a u l	s a u l	s a u l
b a r z i l l a i	b a r z i l l a i	b a r z i l l a i	b a r z i l l a i	b a r z i l l a i	b a r n i l l	b a r z i l l a i	b a r z i l l a i
j a i r	j a i r	j a i r	j a i r	j a i r	j a i r	j a i r	j a i r
a n a h	a n a h	a n a h	a n a h	a n a h	a n a h	a n a h	a n a h
b a a n a h	b a a n a h	b a a n a h	b a a n a h	b a a n a h	b a a n a h	b a a n a h	b a a n a h
j o b	j o b	j o b	j o b	j o b	j o b b	j o b	j o b
a s a h e l	a s a h e l	a s a h e l	a s a h e l	a s a h e l	a s a h e l	a s a h e l	a s a h e l
m i g d o l	m i g d o l	m i g d o l	m i g d o l	m i g d o l	m i g d o l	m i g d o l	m i g d o l
m a r y	m a r y	m i r y a m	m a r y	m i r y a m	m a r i	m a r y	m a r y
o r n a n	o r n a n	o r n a n	o r n a n	o r n a n	o r n a n	o r n a n	o r n a n
g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e
b i l h a h	b i l h a h	b i l h a h	b y l h a h	b i l h a h	b i l h a h	b i l h a h	b i l h a h
i z h a r	i z h a r	i z h a r	i z h a r	i z h a r	i z h a r	i z h a r	i z h a r
s i r a k u s	s i r a c u s	s i r a c u s	s i r a k u s	s i r a c u s	s i r a c u s	s i r a c u s	s i r a c u s
a u	a u	a u	a u	a u	a u	a u	a u
h a r o d	h a r o d	h a r o d	h a r o d	h a r o d	h a r o d	h a r o d	h a r o d
l a m e k	l a m e k	l a m e k	l a m e k	l a m e k	l a m e k	l a m e k	l a m e k
t i m n a h	t i m n a h	t i m n a h	t i m n a h	t i m n a h	t i m n a h	t i m n a h	t i m n a h
e p a f r a s	e p a p h r u s	e p a p h r a s	e p a p h r a s	e p a p h r a s	e p a p h r u s	e p a p h r a s	e p a p h r a s
j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l
l i k a o n i a	l y c a o n i a	l i c a o n i a	l i c a o n i a	l i c a o n i a	l i k a o a	l i c a o n i a	l i c a o n i a
a b i j a h	a b i j a h	a b i j a h	a b i j a h	a b i j a h	a b i j a h	a b i j a h	a b i j a h
a l e k z a n d a r	a l e x a n d a r	a l e x a n d a r	a l e x a n d a r	a l e x a n d a r	a l e k a n d a r	a l e x a n d a r	a l e x a n d a r
l o t	l o t	l o t	l o t	l o t	l o t h	l o t	l o t
i t t a i	i t t a i	i t t a i	y t t a i	i t t a i	i t t a i	i t t a i	i t t a i
a s a f	a s a p h	a s a p h	a s a p h	a s a p h	a s a p h	a s a p h	a s a p h
o l i m p a s	o l i m p u s	o l i m p a s	o l i m p a s	o l i m p a s	o l i m p a s	o l i m p a s	o l i m p a s
