unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
p a v o r o	p a b u l u s	p a b u l u s	p a b u l u s	p a b u l u s	p h a o b	p a b u l u s	p a b u l u s
j o r a	j u d a h	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a
a r a n	a r a n	a r a n	a r a n	a r a n	a r a n	a r a n	a r a n
j e r a s e q u i	j e r a s e n	j e r a s e n e s	j e r a s e s	j e r a s e n e s	p h e r a s	j e r a s e n e s	j e r a s e n e s
t i t o	t i t u s	t i t u s	t i t u s	t i t u s	t i t t u s	t i t u s	t i t u s
a q u i m i	a k i m	a k i m	a k i m	a k i m	a c h i m	a k i m	a k i m
e v o r i a	h e b u l i a	e b u l i a	e b u l i a	e b u l i a	e b e	e b u l i a	e b u l i a
c a y o	g r e u s	c a i u s	g a b u s	c a i u s	g a u g	c a i u s	c a i u s
s h i r o e	s y r u a	s i d o e	s y r e	s i d o e	s i l o c h a	s i d o e	s i d o e
c a n a	c a n n a	c a n n a	c a n a	c a n n a	a n n a	c a n n a	c a n n a
a p o r o	a p o l	a p o l l u s	a p o l l u s	a p o l l u s	a g o l	a p o l l u s	a p o l l u s
j e r i p i	j e r p	j e r i p p i	j e r i p p i	j e r i p p i	e l e	j e r i p p i	j e r i p p i
s e n q u e r e s h i q u i	c e n c r e s	c e n c e d e s	c e n c r e s	c e n c e d e s	h e n e n	c e n c r e s	c e n c r e s
i m p a s h i t e a r i	p h a s	i m m a s t e a l i	i m m a s t e o l i	i m m a s t e a l i	i m a c h e e l	i m m a s t e a l i	i m m a s t e a l i
v e r e	b e l	b e l	b e l	b e l	b e b e	b e l	b e l
j o s h i a s h i	j o s i a h	j o s i a s	j o s i a s	j o s i a s	j o s i a	j o s i a s	j o s i a s
i n e a j e i t a t i i r i	t	e n e a p h i l a t i e l	e n e a p h i l a t i e l	e n e a p h i l a t i e l	d a n e e l	e n e a p h i l a t i e l	e n e a p h i l a t i e l
i c o n i o q u i	u s	i c o n i u s	e c o n i u s	i c o n i u s	l i c h i a	i c o n i u s	i c o n i u s
p i r a t o	p r a t u s	p h i l a t u s	p h i l e t u s	p h i l a t u s	p h i l e	p h i l a t u s	p h i l a t u s
s e r o n i	c e d o n	z e d o n i	h e r o n	z e d o n i	z e r o m	z e d o n i	z e d o n i
a r e q u e r a o	a d e c l a u s	a l e n e r a u s	a r e n e r e u s	a l e n e r a u s	a r e k	a l e n e r a u s	a l e n e r a u s
s i o	s h i u s	i u s	s i u s	i u s	s u s	i u s	i u s
p i s h i r i a q u i	n i c i l i a	p h i z r i a	p h i s r i a	p h i z r i a	p h i s i a	p h i z r i a	p h i z r i a
