unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e g i p t o	e g i p p t u s	e g i p t u s	e g i p t u s	e g i p t u s	e g i p t u s	e g i p t u s	e g i p t u s
b e n j a m i n	b e n e x a m i s	b e n j a m i n	b e n j a m i n	b e n j a m i n	b e e n a m i m	b e n j a m i n	b e n j a m i n
c h a ' a n	c i a l	c h a n n a a n	c h a n n a a n	c h a n n a a n	c a h e a m	c h a n n a a n	c h a n n a a n
a g r i p a	a g r i p a	a g r i p p a	a g r i p a	a g r i p p a	a g r i p h a	a g r i p a	a g r i p a
c o s a m	c h o s h a m	c h o s a m	c o s a m	c h o s a m	c o s a m	c o s a m	c o s a m
r e b e c a	r e b e k a h	r e b e k a h	r e b e k a h	r e b e k a h	r e b e b a h	r e b e k a h	r e b e k a h
j e r u s a l e n		j e r u s a l e n	j e r u s a l e n	j e r u s a l e n	j e r u s h a m	j e r u s a l e n	j e r u s a l e n
f e l i x	p h e l y x	p h e l i a	p h e l i x	p h e l i a	p h e l i s	p h e l i a	p h e l i a
h e r m o g e n e s		h e r m o g e n n e s	h e r m o g e n n e s	h e r m o g e n n e s	h e r m e m	h e r m o g e n n e s	h e r m o g e n n e s
s i r a c u s a	s y r a h o s s a	s i r a c h u s h a	s i r a c h u s h a	s i r a c h u s h a	s y r a h	s i r a c h u s h a	s i r a c h u s h a
c i l i c i a	c y l y c i a	c i l l y c i a	c i l i c i a	c i l l y c i a	c y l i c i a	c i l i c i a	c i l l y c i a
e m a n u e l	e m a n u e l	e m a n u e l	e m a n u e l	e m a n u e l	e m a m u l	e m a n u e l	e m a n u e l
a p o l o	a p o l l u s	a p o l l u s	a p o l l u s	a p o l l u s	a p o l u s	a p o l l u s	a p o l l u s
m a n a e n		m a n a a n	m a n a e n	m a n a a n	m a m a m	m a n a e n	m a n a a n
i s a a c	i s a a k	i s a a c h	i s a a c	i s a a c h	i s h o a h	i s a a c	i s a a c h
n i c o p o l i s		n i c o p o l i s	n i c o p o l i s	n i c o p o l i s	n i c o p o l i s	n i c o p o l i s	n i c o p o l i s
e v o d i a	e v o d i a	e v e h o d i a	e v e h o d i a	e v e h o d i a	e v e d i a s	e v e h o d i a	e v e h o d i a
c a n d a c e	c a n d a c e	c a n d a c h e	c a n d a c e	c a n d a c h e	c a n d a m	c a n d a c e	c a n d a c e
b l a	b l a	b l a	p h e n i c e	b l a	p h e n i c e	b l a	b l a
c e s a r e a	c e s a r e a	c e s a r e a	c e s a r e a	c e s a r e a	c e s a r e a h	c e s a r e a	c e s a r e a
j u d e a	j u d a e a	j u d a e a	j u d a e a	j u d a e a	j u d e s	j u d a e a	j u d a e a
e t i o p i a		e t i o p p h i a	e t i o p i a	e t i o p p h i a	e t i p h o s i a	e t i o p i a	e t i o p p h i a
