unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a	a b r a h a m	a b r a h a m
l e v i	l e v i a	l e v i	l e v i	l e v i	l e s i a	l e v i	l e v i
e n o k i		e n o k	e n o c i a	e n o k	e n o n	e n o k	e n o k
a f i a		a p h i a	a p h i a	a p h i a	a p h a m a	a p h i a	a p h i a
k i r e t i		c r e t u s	c r e t u s	c r e t u s	c h e r e t h u s	c r e t u s	c r e t u s
a r a m a	a r a m a s	a r a m	a r a m	a r a m	a r a m	a r a m	a r a m
y e e z u	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s
f e s i t i s i		p h e s t u s	p h e s t u s	p h e s t u s	p u p h u s	p h e s t u s	p h e s t u s
e r o d i		h e r o d e s	h e r o d i	h e r o d e s	h e r o d i a	h e r o d e s	h e r o d e s
s i k a a r		s c a a r	s c a a r	s c a a r	s c h a n a	s c a a r	s c a a r
k u l o d i y i s i		c l a u d i u s	c u l o d i u s	c l a u d i u s	c u l o d i s	c l a u d i u s	c l a u d i u s
i z a a k i		z a c u s	i s a a c i	z a c u s	c h a m a	z a c u s	z a c u s
a p o l i  o		a p o l l i o n	a p o l l i o	a p o l l i o n	a p o l i n	a p o l l i o n	a p o l l i o n
m a l t i		m a l t i	m a l t i t u s	m a l t i	m a l l t u s	m a l t i	m a l t i
i z a y i		i j a i	i j a i	i j a i	p u s a	i j a i	i j a i
n e r e	n e r e a	n e r e	n e r e	n e r e	n e r e h	n e r e	n e r e
e f a r a t i		e p h a r a t u s	e p h a r a t i t u s	e p h a r a t u s	e p h a r a	e p h a r a t u s	e p h a r a t u s
k a f a r n a w o m		c a p h a r n a o o m	c a p h a r n a o o m	c a p h a r n a o o m	c h a r a	c a p h a r n a o o m	c a p h a r n a o o m
f e b e	f e b e a	h e b e	h e b e	h e b e	h h e b e a	h e b e	h e b e
k a y i f v		c a i w	c a i p h o	c a i w	c a i p h u s	c a i w	c a i w
z a		j a n	j a	j a n	j o h o n	j a n	j a n
e b u l	h e b u l	e b u l	e b u l	e b u l	e b u l	e b u l	e b u l
