unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
i p e e		e p e e	i b e e	e p e e	e p h e n	e p e e	e p e e
a p @ l a h a m		a b r a h a m	a b r a h a m	a b r a h a m	a b r a m a m	a b r a h a m	a b r a h a m
l a s e e	l a z e a	l a s s e h	r a s e e	l a s s e h	r a h a e	l a s s e h	l a s s e h
i l i m a s i		e l i m a s	e l i m a s	e l i m a s	e l i a s	e l i m a s	e l i m a s
a p o l i y o NG		a p o l i o n	a p o l i o n	a p o l i o n	a p h r i o n	a p o l i o n	a p o l i o n
k o s a m	c s a m	c o s a m	c o s a m	c o s a m	c o h a m a r	c o s a m	c o s a m
k a a t u s i	g a r t u s	c a a t u s	c a a t u s	c a a t u s	c a r a d u s	c a a t u s	c a a t u s
y e l i k o	j e r i c	j e r i c o	j e r i c o	j e r i c o	j e r i u s	j e r i c o	j e r i c o
i f a		e p a	e p a	e p a	e p h a	e p a	e p a
h e e m a s i		h e r m a s	h e r m a s	h e r m a s	h e m a s	h e r m a s	h e r m a s
s o s @ t e e n i		s o s t e n e	s o s t e n e	s o s t e n e	z o s h e d e n	s o s t e n e	s o s t e n e
s i l i s i i	s i l y c i a	s i l y c i a	s y r i c i a	s i l y c i a	s y l i s	s i l y c i a	s i l y c i a
i m a n i y e l i		e m m a n i e l	e m m a n i e l	e m m a n i e l	e p h a n i e	e m m a n i e l	e m m a n i e l
a p o l o o s i		a p o l o s	a p o l o s	a p o l o s	a p h r o s	a p o l o s	a p o l o s
m a l @ k u s i		m a l g u s	m a l g u s	m a l g u s	m a r c h u s	m a l g u s	m a l g u s
i s a a k a		e s a a c a	i s a a c h a	e s a a c a	e s a h a r	e s a a c a	e s a a c a
n e y a p o l i s i	n e a p o l i s	n e a p o l i s	n e a p o l i s	n e a p o l i s	n e r e p h i s	n e a p o l i s	n e a p o l i s
i n i i s i	e n i s	i n i s	h y n i a s	i n i s	i n i s i a	i n i s	i n i s
k a n a a NG		c a n a a n	c a n a a n	c a n a a n	g a n a n	c a n a a n	c a n a a n
f i l i p v		p h i l i p o s	p h i l i p o s	p h i l i p o s	p h i l i p u s	p h i l i p o s	p h i l i p o s
l o m	r o m	l o m	r o m	l o m	r o m	l o m	l o m
y u t i	j u d a	j u d a s	j u d a s	j u d a s	j u d i a	j u d a s	j u d a s
n a h u m	n a h u m	n a h u m	n a h u m	n a h u m	n a h o m	n a h u m	n a h u m
i l i s a p e t i		e l i s a b e t h	e l i s a b e t h	e l i s a b e t h	e l i s a b e d	e l i s a b e t h	e l i s a b e t h
a p i l e n i	a b i l e n i a	a b i l e n i	a b y l e n e	a b i l e n i	a b b a n i a	a b i l e n i	a b i l e n i
a p e e l i		a b e l	a b e l	a b e l	a p h e l	a b e l	a b e l
f i l o l o k i		p h i l o l e c h	p h i l o l e c h	p h i l o l e c h	p h i l o l	p h i l o l e c h	p h i l o l e c h
t a l i t a	d a l i t h a	t a l i t a	t a l i d a	t a l i t a	d a r t h a	t a l i t a	t a l i t a
a m o NG		a m o n	a m o n	a m o n	a m o n	a m o n	a m o n
