unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
d a l m a n u t a	d a l m a n u t h a	d a l m a n u t a	d a l m a n u t a	d a l m a n u t a	d a l m a n	d a l m a n u t a	d a l m a n u t a
k a i s a r	c a e s a r	c a e s a r	c a e s a r	c a e s a r	c a i s a r	c a e s a r	c a e s a r
m i l k i s i d i k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l i c h e e	m e l c h i z e d e k	m e l c h i z e d e k
y u l i a	j u l i a	j u l i a	j u l i a	j u l i a	j u l i a	j u l i a	j u l i a
o n i s i p o r u s	o n e s i p e r u s	o n e s i p o r u s	o n e s i p o r u s	o n e s i p o r u s	e l i a p	o n e s i p o r u s	o n e s i p o r u s
p i l i m u n	p h i l i m o n	p h i l e m u n	p h i l e m u n	p h i l e m u n	p h o l e n	p h i l e m u n	p h i l e m u n
s o r u b a b i l	s e r u b a b y l	s o r u b a b e l	s o r u b a b e l	s o r u b a b e l	s o r u b a	s o r u b a b e l	s o r u b a b e l
k a i s a r	c a e s a r	c a e s a r	c a e s a r	c a e s a r	c a i s a r	c a e s a r	c a e s a r
y e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s
r u m	r u m	r u m	r u m	r u m	r u m	r u m	r u m
k n i d u s	c n i d u s	c n e d u s	c n e d u s	c n e d u s	c h e d u s	c n e d u s	c n e d u s
i t a l i a	e t a l i a	e t a l i a	e t a l i a	e t a l i a	e t h a l i a	e t a l i a	e t a l i a
a k u i l a	g r i l l a	a c u e l a	a c u e l a	a c u e l a	a c u l i a	a c u e l a	a c u e l a
m a t a t	m a t t a t h	m a t t a t h	m a t t a t h	m a t t a t h	m a t t a t h a	m a t t a t h	m a t t a t h
y a k u b	j a m e s	j a k u b	j a k u b	j a k u b	j a k u b	j a k u b	j a k u b
o b i d	b e d	e b e d	e b e d	e b e d	e b e d	e b e d	e b e d
g a b r i o l	g a b r i e l	g a b r e o l	g a b r i e l	g a b r e o l	g a b b e l	g a b r i e l	g a b r i e l
k i n g k r i a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c r i a	c e n c h r e a	c e n c h r e a
p o l u k s	p o l u x	p o l u c s	p o l u c s	p o l u c s	p o l u c	p o l u c s	p o l u c s
k a n a a n	k e n a a n	c a n a a n	c a n a a n	c a n a a n	c a n a n	c a n a a n	c a n a a n
k o s	c o s	c o s	c o s	c o s	k o s	c o s	c o s
p i l i k s	p h i l e x	p h i l i c s	p h i l i c s	p h i l i c s	p h e l i c	p h i l i c s	p h i l i c s
i p o s u s	e p h e s u s	e p h e s u s	e p h e s u s	e p h e s u s	e p h u s u s	e p h e s u s	e p h e s u s
a b i l i n i	a b y l e n e	a b y l e n e	a b y l e n e	a b y l e n e	a b e l	a b y l e n e	a b y l e n e
h a b i l	h a b e l	h a b e l	h a b e l	h a b e l	a b e l	h a b e l	h a b e l
p o n t i u s	p o n t i u s	p h o n t i u s	p o n t i u s	p h o n t i u s	p o n t i u s	p o n t i u s	p o n t i u s
t u m a s	a s s a s	t u m a s	t u m a s	t u m a s	t u m a s	t u m a s	t u m a s
a n a n i a s	a n a n i a s	a n a n i a s	a n a n i a s	a n a n i a s	a n a n i a s	a n a n i a s	a n a n i a s
