unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
l o d o o q i y a a	l o d o c i a	l o d o c i a	l o d o c i a	l o d o c i a	l o d i a	l o d o c i a	l o d o c i a
q a r i s i p h p h o o s i	c r s u s	c a r i s i p p o s	c a r i s i p p h o s i	c a r i s i p p o s	c a r i s	c a r i s i p p o s	c a r i s i p p o s
b i i t i i n i y a	b e t e n	b e t i n i a	b i t i n i a	b e t i n i a	b i t i a	b e t i n i a	b e t i n i a
m a a t i y a a s a	m a t i a	m a t i a	m a t i a s a	m a t i a	m a m i a	m a t i a	m a t i a
y i h u d a a	j u d a	j i h u d a	j i h u d o y a	j i h u d a	j u d a	j u d a	j i h u d a
o l u m p p o o s a n n e	o l m p	o l u m p o s a n e	o l u m p o s a n n e	o l u m p o s a n e	h o l p a s	o l u m p o s a n e	o l u m p o s a n e
s h a a c c a n a	p h o e n i x	s h a s s a n a	s h o e n i x	s h a s s a n a	s a s o n	s h a s s a n a	s h a s s a n a
z e r u b a a b e e l i	z e r u b a b e l	z e r u b a b e l	z e r u b a b e l i	z e r u b a b e l	e r r a a b	z e r u b a b e l	z e r u b a b e l
y o o p p a	j o p	j o p a	j o p p a	j o p a	j o p h a	j o p a	j o p a
x a a l i t a a	t a l e v	t a l t a	t a l i t a	t a l t a	n a l i a	t a l t a	t a l t a
"		"	"	"	s o s	"	"
i s r a 7 e e l i y a	i s r a e l	i s r a e l i a	i s r a e l i a	i s r a e l i a	s a r a l	i s r a e l i a	i s r a e l i a
a p h i l o o s i	a p i l u s	a p h i l o s	a p i l o s	a p h i l o s	a p h i l a	a p h i l o s	a p h i l o s
m a r t t a	m a r t	m a r t a	m a r t a	m a r t a	m a t h a m	m a r t a	m a r t a
y i s a a k o o r a	i s a h o r	i s a h o r	j i s a a c o r a	i s a h o r	j a h o r	i s a h o r	i s a h o r
n e n n e w e	n a n e	n e n e v e	n e n n e v e	n e n e v e	n e n e s	n e n e v e	n e n e v e
f i l i k i s e	p l y c h e s	p h i l i c e s	p h i l y c h i s e	p h i l i c e s	p h i l a	p h i l i c e s	p h i l i c e s
h a n n e	h	h a n e	h a n n e	h a n e	a n n a n	h a n n e	h a n e
p h i l a a x o o s i	p i l a t u s	p h i l a t u s	p i l a t o s i	p h i l a t u s	p a l a m	p h i l a t u s	p h i l a t u s
q a y a a f a a	c i a p h a	c a i a p h a	c a i a p h a	c a i a p h a	c a r a a	c a i a p h a	c a i a p h a
y o s x x o o s a	j u s t u s	j o s t u s	j o s t u s	j o s t u s	j o s o s	j o s t u s	j o s t u s
s h a a f a n	s e l a	s h a p h a n	s h a p h a n	s h a p h a n	s a p h a a	s h a p h a n	s h a p h a n
h e e n o o s i	h e n u s	h e n o s	h e n o e o s	h e n o s	h e n o s	h e n o s	h e n o s
m o o d d i	m o d d	m o d i	m o d d i	m o d i	m o d e d	m o d i	m o d i
a a b e e l a	a b e l	a b e l a	a b e l a	a b e l a	a b a e l	a b e l a	a b e l a
p h i i s i i d i y a a	p i s i d i a	p h i s i d i a	p h i s y d i a	p h i s i d i a	p h i s a	p h i s i d i a	p h i s i d i a
t o o m a a s i	t h e o m a s	t o m a s	t o m a s i	t o m a s	t o m a m	t o m a s	t o m a s
a m o o x a	a m o s a	a m o t a	a m o t a	a m o t a	a m o m	a m o t a	a m o t a
k i r i s t t o o s a	m e s s t u s	c r i s t u s	c h r i s t h o s a	c r i s t u s	c a r i s	c r i s t u s	c r i s t u s
s a r g g i y o o s a	s a u l i u s	s a r g i u s	s a r g i o s a	s a r g i u s	s a r g a s	s a r g i u s	s a r g i u s
