unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
s x i l e m	s h i l e m	s h i l e m	s h i l e m	s h i l e m	s h i l e m	s h i l e m	s h i l e m
k e n a z	c e n a z	k e n a z	k e n a z	k e n a z	c h e n a z	k e n a z	k e n a z
p i l a t o	p i l a t u s	p i l a t u s	p i l a t u s	p i l a t u s	p i l a t u s	p i l a t u s	p i l a t u s
b e r e a	b e r e a	b e r e a	b e r e a	b e r e a	b e r e a	b e r e a	b e r e a
s a m o s o n	s a m o s	s a m o s o n	s a m o s o n	s a m o s o n	s a m o s h	s a m o s o n	s a m o s o n
j a b i n	j a b i n	j a b i n	j a b i n	j a b i n	j a b i n	j a b i n	j a b i n
m a g o g	m a g o g	m a g o g	m a g o g	m a g o g	m a g g	m a g o g	m a g o g
t i m n a	t i m n a h	t i m n a	t i m n a	t i m n a	t i m n a	t i m n a	t i m n a
a z o r	a z o r	a z o r	a z o r	a z o r	a z o r	a z o r	a z o r
a b a	a b a	a b a	a b a	a b a	a b a h	a b a	a b a
m e f i b o s x e t	m e p h i b o s h e t h	m e p h i b o s h e t h	m e p h i b o s h e t h	m e p h i b o s h e t h	m e s h i b o s e t h	m e p h i b o s h e t h	m e p h i b o s h e t h
j e h x o n j a	j e h o i a h	j e h o n i a h	j e h o n i a h	j e h o n i a h	j e h o n i a h	j e h o n i a h	j e h o n i a h
a p e l e s o n	a p e l e s	a p e l e s o n	a p e l e s o n	a p e l e s o n	a p e l e n o n	a p e l e s o n	a p e l e s o n
j i f t a h x	j e p h t a h	j i p h t a c h	j i p h t a c h	j i p h t a c h	j i p h	j i p h t a c h	j i p h t a c h
b a a l	b a a l	b a a l	b a a l	b a a l	b a a l	b a a l	b a a l
e b a l	e b a l	e b a l	e b a l	e b a l	e b a l	e b a l	e b a l
b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s	b a r n a b a s
b a r s a b a s	b a r s a b a s	b a r s a b a s	b a r s a b a s	b a r s a b a s	b a r s a b b a s	b a r s a b a s	b a r s a b a s
b i h x r i	b i h r i	b i h r i	b i h r i	b i h r i	b i h r i	b i h r i	b i h r i
k e n k r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	c e n c h r e a	k e n c h r e a	c e n c h r e a	c e n c h r e a
