unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
d o k a s	d o g u s	r o c u s	r o g u s	r o c u s	r o l a s	r o c u s	r o c u s
e b a d a k k a m	a b r a h a m	a b r a h a m	a b r a c h a m	a b r a h a m	a b a r i a m	a b r a h a m	a b r a h a m
l e i w	l a y i m	l a h	l e e v e	l a h	l e v e	l a h	l a h
e i d a m s u		a r a m s u	e r a m z w	a r a m s u	h e r a m	a r a m s u	a r a m s u
a b a l y a n	a b a l o n	a b l o n	a b u l o n	a b l o n	a b a l i a	a b l o n	a b l o n
k o n i l i y a s	c o n i l i a s	c h i l i a s	c o n i l i a s	c h i l i a s	c o l i c a	c o n i l i a s	c o n i l i a s
f u b i l i y a s	p h e b y l i a s	p h u b e l i a s	f u b y l i a s	p h u b e l i a s	p h i l i l i a	p h u b e l i a s	p h u b e l i a s
y u d d i a	j u d e a	j u d e a	j u d i a	j u d e a	j u d i a	j u d e a	j u d e a
y o d d i y a	j o d i a	j o d i a	j o d i a	j o d i a	j o r i a	j o d i a	j o d i a
a d a n	r o n	r o n	a r a n	r o n	a r a n	r o n	r o n
k u k u m i n	q u c u m i n	c u c u m i n	q u c u m i n	c u c u m i n	l i l o n	q u c u m i n	q u c u m i n
s u s a	s u s a	s u s a	s u s a	s u s a	s u l u s	s u s a	s u s a
a i m e n e y a s	i m a n e u s	i m e n e a s	a i m e n e a s	i m e n e a s	a i m a n e e s	i m e n e a s	i m e n e a s
a b o l a s	a p o l l u s	a p o l a s	a p o l a s	a p o l a s	a b o l u s	a p o l a s	a p o l a s
i n o s	e n o s	e n o s	e n o s	e n o s	e n o s h	e n o s	e n o s
a i k k o n i y a m	i c o n i a m	y c a o n i a m	y c a o n i a m	y c a o n i a m	a i c h i o n i a	y c a o n i a m	y c a o n i a m
n a w t a l a i	n a p t a l i	n a b t a l i	n a v t a l y	n a b t a l i	n a t a l i a	n a b t a l i	n a b t a l i
n a k g a i	n a g i	n a g g i	n a g g a i	n a g g i	n a g i a	n a g g i	n a g g i
k e i n a n	c a n a n	c a n a n	c a i n a n	c a n a n	c e l n a n	c a n a n	c a n a n
f a i l i m a n	p h i l i m a n	p h i l i m a n	p h i l i m a n	p h i l i m a n	p i l y l i a	p h i l i m a n	p h i l i m a n
b o a s	p o u s	b o a s	b o a s	b o a s	b a o s	b o a s	b o a s
y u d d i a	j u d e a	j u d e a	j u d i a	j u d e a	j u d i a	j u d e a	j u d e a
a i s e y a	i s a i a h	i s e a	a r i s e a	i s e a	a r i a a	i s e a	i s e a
e l i s a b e t	e l e s a b e d	e l e z e b e t	e l i s a b e t h	e l e z e b e t	e l i s a	e l e z e b e t	e l e z e b e t
a b i l i n	a b y l e n e	a b y l i n	a b y l e n e	a b y l i n	g a l i l a	a b y l e n e	a b y l e n e
e b e l	e b e l	e b e l	e b e l	e b e l	e l	e b e l	e b e l
f a i l i t a s	p h i l i t u s	p h i l i t u s	p h i l e t u s	p h i l i t u s	p i l i l a t u s	p h i l i t u s	p h i l i t u s
s i d a k u s	s y r a q u s	s y r a q u s	z e r u g u s	s y r a q u s	s i u l u s	s y r a q u s	s y r a q u s
e m a s	a m u s	e m a s	e m u s	e m a s	a m a r	e m a s	e m a s
m a t a		m a t a	m a t h a	m a t a	m a r a	m a t a	m a t a
s a m e d i y a	s a m a r i a	s a m e r o n	s h o m e r e a	s a m e r o n	s a m e r i a	s a m e r o n	s a m e r o n
