unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e l i a	e l i a	e l i a	e l i a	e l i a	e l i a	e l i a	e l i a
b e n y a m i n	b e n i a m i n	b e n j a m i n	b e n j a m i n	b e n j a m i n	b e n i a m	b e n j a m i n	b e n j a m i n
g u r u	g u r i	g u r u	g u r u	g u r u	g u r u s	g u r u	g u r u
a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s
k a n d a k e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c	c a n d a c e	c a n d a c e
r i b k a	r h o n	r i b c a	r i b c a	r i b c a	r i b a	r i b c a	r i b c a
y a h u d i k a	j i h u d o y	j i h u d o y a	j i h u d o y a	j i h u d o y a	j a h u d	j i h u d o y a	j i h u d o y a
g e r a s a	g e r a s a	g e r a s a	g e r a s a	g e r a s a	g e r a s	g e r a s a	g e r a s a
h i z k i a	h y z c i a	h i z c i a	h i z c i a	h i z c i a	h i r c i a	h i z c i a	h i z c i a
s i n t i k h e	s i n t i c h e	s i n t y c h e	s i n t y c h e	s i n t y c h e	s y n t h e c	s i n t y c h e	s i n t y c h e
k l e o p a s	c l e o p a s	c l e o p a s	c l e o p a s	c l e o p a s	c l e o p	c l e o p a s	c l e o p a s
i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l
a p o l o n i a	a p o l o n i a	a p o l o n i a	a p o l o n i a	a p o l o n i a	a p p o l i a	a p o l o n i a	a p o l o n i a
m a r i a	m a r i a	m a r i a	m a r i a	m a r i a	m a r i a	m a r i a	m a r i a
i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l
n i k a n o r	n i c a m	n i c a n o r	n i c a n o r	n i c a n o r	n i c o r	n i c a n o r	n i c a n o r
f e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s h u s	p h e s t u s	p h e s t u s
k a r p u s	c a r p u s	c a r p u s	c a r p u s	c a r p u s	c a r u s	c a r p u s	c a r p u s
f r i g i a	p h r i g i a	p h r i g i a	p h r i g i a	p h r i g i a	p h r i g i a	p h r i g i a	p h r i g i a
k a i n	c a e n	c a i n	c a i n	c a i n	c a i n	c a i n	c a i n
y u n i a s k a	j o n i a s	j u n i a s	j u n i a s	j u n i a s	i u n i a s	j u n i a s	j u n i a s
