unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
i t i o p i a		i t h e o p h i a	i t i o p i a	i t h e o p h i a	i t e o p h i a	i t i o p i a	i t h e o p h i a
s i z a r i a		s h e z a r e a	s i z a r i a	s h e z a r e a	s y c a r i a	s i z a r i a	s h e z a r e a
m e l k e z a d e  k		m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l i z a	m e l c h i z e d e k	m e l c h i z e d e k
j u d i a		j u d a e a	j u d i a	j u d a e a	j u d e	j u d i a	j u d a e a
p a m f e l i a		p a m p h i l i a	p a m f e l i a	p a m p h i l i a	p a m p h i a	p a m f e l i a	p a m p h i l i a
f i l i p		p h i l i p o s	p h i l i p o s	p h i l i p o s	p h i l i p a	p h i l i p o s	p h i l i p o s
z e r a b a b e  l		z e r a b b a b e l	z e r a b b a b e l	z e r a b b a b e l	z e r e b b e l	z e r a b b a b e l	z e r a b b a b e l
r o m		r o m e	r o m	r o m e	a m o r	r o m	r o m e
j e  f t a		j e p h t h a	j e f t h a	j e p h t h a	j e p h	j e p h t h a	j e p h t h a
s a d u s i		s a r d u s h e e	s a d u s i	s a r d u s h e e	s a d u s	s a d u s i	s a r d u s h e e
a z o t a s		a s h d o d	a z o t a s	a s h d o d	a s o n a s	a z o t a s	a s h d o d
k l o  d i a		c l a u d i a	c l o d i a	c l a u d i a	c l o d i a	c l a u d i a	c l a u d i a
k p e g e a		c p y g i a	c p y g i a	c p y g i a	c h e m a	c p y g i a	c p y g i a
m a t a t a i a s		m a t t a t t h i a s	m a t t a t h a i a s	m a t t a t t h i a s	m a r t h i a s	m a t t a t t h i a s	m a t t a t t h i a s
i z r a e  l		i s r o e l	i s r o e l	i s r o e l	e s a l e l	i s r o e l	i s r o e l
o l e m p a s		o l a m p a s	o l e m p a s	o l a m p a s	o l i s a s	o l e m p a s	o l a m p a s
f e  s t o  s		p h e s t u s	f e s t u s	p h e s t u s	p h o m o s	p h e s t u s	p h e s t u s
s e n k r i a		c e n c h r e a	s y n c r i a	c e n c h r e a	s e c h e r	c e n c h r e a	c e n c h r e a
p o  n t o  s		p o n t u s	p o n t u s	p o n t u s	p o n o s	p o n t u s	p o n t u s
k e n a n		c a n a n	k e n a n	c a n a n	c a n a n	c a n a n	c a n a n
k i s		c h i s	k i s	c h i s	c a i s	k i s	c h i s
u t i k o  s		u t h i c u s	u t i c u s	u t h i c u s	e t i c u s	u t h i c u s	u t h i c u s
e p a f r a d a i t o  s		e p a p h r a d a r e t u s	e p a p h r a d a i t u s	e p a p h r a d a r e t u s	e p h a r i t u s	e p a p h r a d a r e t u s	e p a p h r a d a r e t u s
a b i l e n i		a b i l l y n i	a b y l e n e	a b i l l y n i	a b e l i n a	a b i l l y n i	a b i l l y n i
e b e  l		a b e l	e b e l	a b e l	a b e l	a b e l	a b e l
