unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
g a y n a	c a n	g a n a	g a n a	g a n a	g a n a n	g a n a	g a n a
w a p a y a w a l a	a b a	a b a a l a	a b e e r	a b a a l a	a b i a h	a b a a l a	a b a a l a
y i m a t j i n i y u n y d j a	i m m a z i n e h u	h a m a z i n i u s	i m a z i n u e h	h a m a z i n i u s	a m m o n	h a m a z i n i u s	h a m a z i n i u s
y a r a n n h a	a r a n	a r a n	a r a n	a r a n	a h i a h	a r a n	a r a n
w a y m u t j k a l a	a m o s	a m o s c o l a	a m o t u s	a m o s c o l a	e l	a m o s c o l a	a m o s c o l a
n h a l t j u r r u	t u b b	e l z e r o	e l z e r g	e l z e r o	g o l i a h	e l z e r o	e l z e r o
n e p u l i l i	n e v	n e b u e	n e b u y	n e b u e	e l i a h	n e b u e	n e b u e
r a w u m b u y n h a	a p	r a m p h a	r a m p h e	r a m p h a	a h i a h	r a m p h a	r a m p h a
b u r a k u r u n h a	p h r a c u r o	p h r a c u r o n e	p h r a c u r o n e	p h r a c u r o n e	e l i a h	p h r a c u r o n e	p h r a c u r o n e
g a y a t j		k a a s	c a i a s	k a a s	a h	k a a s	k a a s
y a k u w u NG u		a r c u s i a	a g u s s e	a r c u s i a	a h i a h	a r c u s i a	a r c u s i a
d j a l a m a n	s a l e m o n	s a l a m a n	s a l a m o n	s a l a m a n	s h i l a m	s a l a m a n	s a l a m a n
b e r a t j k u	p h a r e z	b e r a s c u	b e r a s c u	b e r a s c u	e l i a h	b e r a s c u	b e r a s c u
y e l a t j a	e l i j a h	e l i a s	e l i a s	e l i a s	e l i a s h i b	e l i a s	e l i a s
m a w t j i t j k u	m o s e s	m a s e s c u	m a s e s c u	m a s e s c u	m o s h	m a s e s c u	m a s e s c u
w a NG g a n y g u m a		k e n e g o m a	k e d g o m a	k e n e g o m a	a h	k e n e g o m a	k e n e g o m a
y e n u t j k u n a	e n o s	e n o s c u n a	e n o s c e	e n o s c u n a	e n	e n o s c u n a	e n o s c u n a
y a m a l i k	a m a l i c h	a m a l i c	a m a l i c	a m a l i c	s a m l i l	a m a l i c	a m a l i c
y i t j u r a l p u y NG u		h e z r a l b o i m o	h e z r a p h s e	h e z r a l b o i m o	e l i a h	h e z r a l b o i m o	h e z r a l b o i m o
r a m a n y d j a		r a m a h	r a m a h	r a m a h	a m a n	r a m a h	r a m a h
n e r i y a w u	n e r i a h	n e r i a	n e r i a	n e r i a	n e r i a h	n e r i a	n e r i a
b a p a r a t j	e p a p h r o s	b a b a r a z	e p a p r a z	b a b a r a z	e l i a h	b a b a r a z	b a b a r a z
d j i y u y u	j e h	j e h e w	j i h e w	j e h e w	j e d o n	j e h e w	j e h e w
g u r i t j p a n h a	c r e t h -	c r e s p a s	c r e s p a s	c r e s p a s	e l i a h	c r e s p a s	c r e s p a s
b a n i t j a l i l i n a	a n n e s a	p e n e t i a n a	p e n e s a l e h e m	p e n e t i a n a	e l i a b	p e n e t i a n a	p e n e t i a n a
d h a l k a r a n h a r a w u	i c h r o t h	s h a l c h a a r r a h	s a l c h a o r u s	s h a l c h a a r r a h	a l i a h	s h a l c h a a r r a h	s h a l c h a a r r a h
b a r a p a t j	b e r e p h a s	b a r a b a s	b a r a b a s	b a r a b a s	e l i a h	b a r a b a s	b a r a b a s
g i t j k u	g e s	g i s g o	g i s c u	g i s g o	g e t h	g i s g o	g i s g o
d j o d a n b u y	j o d a n h	j o d a b e	j o d a n p h	j o d a b e	s h o n a b	j o d a b e	j o d a b e
b a l w u		b a l e	b e l	b a l e	p a l u s	b a l e	b a l e
d a w ' y u n a r a		d a a r n a r a	d e m a r a	d a a r n a r a	a b i a h	d a a r n a r a	d a a r n a r a
g o n i l i y a	g o n e l i a	c o n l i a	c o n y l i a	c o n l i a	g o l i a h	c o n l i a	c o n l i a
b a y l a t t j a	b a l a t e	b a l a t e	b a l a t e	b a l a t e	e l i a s h i b	b a l a t e	b a l a t e
b u NG g a w a w u		l g a a h	l g o a e	l g a a h	e g i a h	l g a a h	l g a a h
d j i m i y a n	h a m e o n	j e m i a n	j e m i a n	j e m i a n	s e m o n	j e m i a n	j e m i a n
w a y p u l	a b e l	a p o l	a p o l	a p o l	a h i a h	a p o l	a p o l
m a l u		m a r h u	m a l o	m a r h u	m a r	m a r h u	m a r h u
m u l k a ' - m u l k a n a n a	g e m o l k a n a n	m e l c a r u m o l k a n a n	m o l g a m u m o l k a n	m e l c a r u m o l k a n a n	m e l i a h	m e l c a r u m o l k a n a n	m e l c a r u m o l k a n a n
NG u n h i m a l a y i n y d j a y i		j o b m a l a i s e	j o b m a l a i s i	j o b m a l a i s e	m o l i a h	j o b m a l a i s e	j o b m a l a i s e
d j o n a t h a n g u n a	j o n a t h a n	j o n a t h a n n a	j o n a t h o n n a	j o n a t h a n n a	n a n	j o n a t h a n n a	j o n a t h a n n a
y e n u n NG u r a		e n o n s h a	e n o n s h a	e n o n s h a	e n o n	e n o n s h a	e n o n s h a
d j a y k u p k u	j a c o b	j a c o b o	j a c o b g o	j a c o b o	s h o n	j a c o b o	j a c o b o
m a n a t j a	m o n i j a h	m a n n a s a	m a s a	m a n n a s a	m a n a s	m a n n a s a	m a n n a s a
l o k	l o c h	l o c	l o g	l o c	l o l	l o c	l o c
b i r r	k a d	b e r	b e r	b e r	e l i a h	b e r	b e r
d j a y i m	j a i m	j a i m	j a i m	j a i m	s h a m a	j a i m	j a i m
d a m a r i t j	d a m a r u s	d a m a r i s	d a m a i r u s	d a m a r i s	d a m a m	d a m a r i s	d a m a r i s
w a t a t j u k i		p e r s i a	p e r s i a	p e r s i a	e l i a h	p e r s i a	p e r s i a
y e p a l l i l i n a	e b a	h e b a l e n a	e p o l l e h e m	h e b a l e n a	e l i a s h i b	h e b a l e n a	h e b a l e n a
g a t h u ' m i r r i NG u		k a t h r m e r i c e	g a t h o m m i r y d i	k a t h r m e r i c e	a h a r	k a t h r m e r i c e	k a t h r m e r i c e
g i y u t j	s a m o s	g i u s	s a m o s	g i u s	c h o s h	s a m o s	s a m o s
m a k a r r w u y	m a g u s t h	m a g a r b e	m a c h a r t h	m a g a r b e	m a c h a r	m a g a r b e	m a g a r b e
b u n d i t j p u y	p o n t i s h b h	p o n t i s h b e	p o n t y c h p h	p o n t i s h b e	e l i a h	p o n t i s h b e	p o n t i s h b e
