unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
b a r s a b b a s	b a r s a b b a s	b a r - s h a b b a s	b a r s a b b a s	b a r - s h a b b a s	b a r s a b	b a r s a b b a s	b a r s a b b a s
b i k r i	b i c r i	b i c h r i	b i c h r i	b i c h r i	b i c r i r	b i c h r i	b i c h r i
p e t e r	p e t e r	p e t e r	p h e t h e r	p e t e r	p e t e r	p e t e r	p e t e r
e p r a i m	e p h r a i m	e p h r a i m	e p h r a i m	e p h r a i m	e p h r a i m	e p h r a i m	e p h r a i m
s e r e d	s h e r e d	s h e r e d	s h e r e d	s h e r e d	s e r e d	s h e r e d	s h e r e d
b a r t o l o m u	b a r t o l o m u	b a r t h o l o m u	b a r t h o l o m u	b a r t h o l o m u	b a r t h o m u s	b a r t h o l o m u	b a r t h o l o m u
y a k o b	j a k u b	j a c h o b	j a c h o b	j a c h o b	j a c h o b	j a c h o b	j a c h o b
a n a h	a n a h	a n a h	a n a h	a n a h	a n a h	a n a h	a n a h
b a a l	b a a l	b a a l	b a a l	b a a l	b a a l	b a a l	b a a l
i z h a r	i z h a r	i z h a r	i z h a r	i z h a r	i z h a r	i z h a r	i z h a r
a r v a d	r v a d	a r v a d	a r v a d	a r v a d	a r	a r v a d	a r v a d
m e t u s e l a	m e t u s h e l a h	m e t h u s h e l a h	m e t h u s h e l a	m e t h u s h e l a h	m e t u s	m e t h u s h e l a h	m e t h u s h e l a h
m a m r e	m a m r e	m a m r e	m a m r e	m a m r e	m a m r e	m a m r e	m a m r e
o g	o g	o g	o g	o g	o g	o g	o g
g a d a r a	g a d a r a	g a d a r a	g a d a r a	g a d a r a	g a d a r	g a d a r a	g a d a r a
b e z a l e l	b e z a l e l	b e z a l e l	b e z a l e l	b e z a l e l	b e z a l	b e z a l e l	b e z a l e l
y e u s	j e u s	j e u s	j e u s	j e u s	j e u s	j e u s	j e u s
s o e		s ɔ e	s o e	s o e	s h o e	s o e	s o e
s i l o	s i l o	s i l o	s i l o	s i l o	s h i l o s	s i l o	s i l o
h a n u n	h a n u n	h a n u n	h a n u n	h a n u n	h a n u n	h a n u n	h a n u n
t a b i t a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a
k o s	c o s	c h o s	c h o s	c h o s	c h o d e s	c h o s	c h o s
t i t i u s	t i t t i u s	t i t t i u s	t h i t t i u s	t i t t i u s	t y t y u s	t i t t i u s	t i t t i u s
a h i r a	a h i r a	a h i r a	a h i r a	a h i r a	a h i r a	a h i r a	a h i r a
y a b e s	j a b e s	j a b e s	j a b e s h	j a b e s	j a b e s	j a b e s	j a b e s
l o i s	l o i s	l o i s	l o i s	l o i s	l o i s	l o i s	l o i s
a b i y a	a b i j a h	a b i j a	a b i j a h	a b i j a	a b i l a	a b i j a h	a b i j a h
a l e k z a n d e r	a l e x a n d e r	a l e c h z a n d e r	a l e c h z a n d e r	a l e c h z a n d e r	a l e k z a n	a l e c h z a n d e r	a l e c h z a n d e r
l e v i	l e v i	l e v i t e s	l e v i t e s	l e v i t e s	l e v i	l e v i	l e v i t e s
y o s e b	j o s e b	j o s h e b	j o s h e b	j o s h e b	j o s e b	j o s h e b	j o s h e b
t r o p i m u s	t r o p i m u s	t h r o p h i m u s	t h r o p h i m u s	t h r o p h i m u s	t r o p h i m u s	t h r o p h i m u s	t h r o p h i m u s
s a b e g a	s a b e g a	s a b e g a	s a b e g a	s a b e g a	s a b e g a h	s a b e g a	s a b e g a
y a s u b	j a s u b	j a s h u b	j a s h u b	j a s h u b	j a s u b	j a s h u b	j a s h u b
m a t u	m a t u	m a t h u	m a t h u	m a t h u	m a t u t	m a t h u	m a t h u
k a i a p a s	c a i a p a s	c a i a p a s	c a i a p h a s	c a i a p a s	c a i a p h a s	c a i a p a s	c a i a p a s
g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e	g a l i l e e
e g i p t	e g y p t	e g y p t	e g y p t	e g y p t	e g i p t	e g y p t	e g y p t
