unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
l a w m u n k u	l m	l a w m u v u	l a w m u v u	l a w m u v u	l a g m u n	l a w m u v u	l a w m u v u
e l a m u n k u	e l a	e l a	e l a	e l a	e l a m u n	e l a	e l a
e n o c h	e n o c h	e n o c h	e n o c h	e n o c h	e n o c h	e n o c h	e n o c h
a p p i i	a p p i i	a p p i i	a p p i i	a p p i i	a p p i i i	a p p i i	a p p i i
c r e t e	c r e t e	c r e t e	c r e t e	c r e t e	c r e t e s	c r e t e	c r e t e
b l a n k	s c e v a	s c e v a	b l a v	s c e v a	s c e v a	s c e v a	s c e v a
j e r u s a l e m	y e r u s h a l e m	u r i s h l e m	j e r u s a l e m	u r i s h l e m	j e r u s	j e r u s a l e m	u r i s h l e m
f e s t u s	f e s t u s	f e s t u s	f e s t u s	f e s t u s	d e s t u s	f e s t u s	f e s t u s
h e r o d	h e r o d e s	h e r o d	h e r o d	h e r o d	h e r o d	h e r o d	h e r o d
s y c h a r	s y c h a r	s y c h a r	s y c h a r	s y c h a r	s y c h a r	s y c h a r	s y c h a r
c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s
b l a n k	s c e v a	s c e v a	b l a v	s c e v a	s c e v a	s c e v a	s c e v a
a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n	a p o l l y o n
m a l t a	m a l t a	m a l t a	m a l t a	m a l t a	m a l t a t	m a l t a	m a l t a
i s a a c	i s a a c	i s a a c	i s a a c	i s a a c	i s a a c h i s	i s a a c	i s a a c
n e a p o l i s	n e a p o l i s	n e a p o l i s	n e a p o l i s	n e a p o l i s	n e a p o l i s	n e a p o l i s	n e a p o l i s
e u p h r a t e s	e u p h r a t e s	e u p h r a t e s	e u p h r a t e s	e u p h r a t e s	e u p h r a t e s	e u p h r a t e s	e u p h r a t e s
c a r p u s a n j i	c a r p u s	c a r p u s	c a r p u s	c a r p u s	c a r p u s	c a r p u s	c a r p u s
p h o e b e	p h o e b e	p h o e b e	p h o e b e	p h o e b e	p h o n e b	p h o e b e	p h o e b e
c a i n	c a i n	c a i n	c a i n	c a i n	c a i n	c a i n	c a i n
j u d e a	j u d a e a	j u d e a	j u d e a	j u d e a	j e h u d	j u d e a	j u d e a
e u b u l u s	e u b u l u s	e u b u l u s	e u b u l u s	e u b u l u s	e u b u s	e u b u l u s	e u b u l u s
e m m a u s	e m m a u s	e m m a u s	e m m a u s	e m m a u s	e m m a u s	e m m a u s	e m m a u s
a b i l e n e m u n k u	a b i l e n e	a b i l e n e k u	a b i l e n e k u	a b i l e n e k u	a b i l e n	a b i l e n e k u	a b i l e n e k u
a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
p h o e n i c i a	p h o e n i c i a	p h o e n i c i a	p h o e n i c i a	p h o e n i c i a	p h o n i c i a	p h o e n i c i a	p h o e n i c i a
t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s	t e r t u l l u s
a m o s	a m o s	a m o s	a m o s	a m o s	a m o s	a m o s	a m o s
m a t t h a t	m a t t h a t	m a t t h a t	m a t t h a t	m a t t h a t	m a t t h a t	m a t t h a t	m a t t h a t
s a t a n	s a t a n	s a t a n	s a t a n	s a t a n	s a t a n	s a t a n	s a t a n
a l p h a e u s	a l p h a e u s	a l p h a e u s	a l p h a e u s	a l p h a e u s	a l p h a e u s	a l p h a e u s	a l p h a e u s
m a g d a l e n e	m a g d a l a	m a g d a l a	m a g d a l e n e	m a g d a l a	m a g d a l e n	m a g d a l a	m a g d a l a
m a t t h i a s	m a t t h i a s	m a t t h i a s	m a t t h i a s	m a t t h i a s	m a t t h i a s	m a t t h i a s	m a t t h i a s
