unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
s o r o k m a k m e w	s o l o b a b e t h	s o l o b a b e l	s o l o b a b e l	s o l o b a b e l	z o b e l	s o l o b a b e l	s o l o b a b e l
s e s a	c a e s a	c a e s a	c a e s a	c a e s a	s e s c h a	c a e s a	c a e s a
x e r u s a r y e n	j e r u s h a l e m	j e r u s h a r i n	j e r u s h a r i n	j e r u s h a r i n	d e r u s	j e r u s h a r i n	j e r u s h a r i n
s a w m o n a	c n i d	s a l m o n a	s a u m o n	s a l m o n a	s a n u e l	s a l m o n a	s a l m o n a
a s o s	a z o s	a s o s	a s o s	a s o s	a s o s	a s o s	a s o s
k a r o p a s		c r o p a s	c a r o p a s	c r o p a s	c r o p a p	c r o p a s	c r o p a s
a k a s	a c h a s	a c h a s	a c h a s	a c h a s	a c h a	a c h a s	a c h a s
t w e t o t x e	t h u e t h o t	t h e n e t o t e	t h e n e t h o t i	t h e n e t o t e	t e t h o t i s	t h e n e t o t e	t h e n e t o t e
e f r a y e n	e u r a i n	e p h r a i n	e p h r a i n	e p h r a i n	e p r a i a	e p h r a i n	e p h r a i n
u s e y a s	u s i a h	u s i a s	u s i a s	u s i a s	u s i a s	u s i a s	u s i a s
s a r a t e y e w	s a l a t h e e l	s a l a t i e l	s a l a t h e l	s a l a t i e l	s a r a t h i e l	s a l a t i e l	s a l a t i e l
t x e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s	j e s u s
x u u p e t e h	j u u p e d e r	j u u p e t e r	j u u p e t e r	j u u p e t e r	j u b e t h	j u u p e t e r	j u u p e t e r
x o p e	j o p	j o p i	j o p i	j o p i	j o p h	j o p i	j o p i
e s p a n y a	i s p a n i a	i s p a n i a	i s p a n i a	i s p a n i a	i s p a n i a	i s p a n i a	i s p a n i a
k a r o p a s		c r o p a s	c a r o p a s	c r o p a s	c r o p a p	c r o p a s	c r o p a s
p a f o s	p a p h o s	p a p h o s	p a p h o s	p a p h o s	p a p o p	p a p h o s	p a p h o s
