unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
k a	g a	g a	g a	g a	c h a r	g a	g a
y i s a s i	j e s u s	j e s u s	j e s u s	j e s u s	j a s u s	j e s u s	j e s u s
n e h u ' a	n a h	n a h w	n a h w	n a h w	n a h a	n a h w	n a h w
y o s e f e	j o s e p h	j o s e p h e	j o s e p h e	j o s e p h e	j o b u s	j o s e p h e	j o s e p h e
s i l i s i a	s i l y s i a	s l i s a	s y r i s a	s l i s a	s y l i a	s l i s a	s l i s a
k a l i l i	g a l i l e e	g a l i l i	g a l i l e e	g a l i l i	m a l i l e l	g a l i l e e	g a l i l e e
s e l a p a p e l i	s a l t i e l	s h e a l t i e l	s a l a b a b e l	s h e a l t i e l	s h a b e l	s h e a l t i e l	s h e a l t i e l
y e l u s a l e m u	j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u m	j e r u s a l e m	j e r u s a l e m
l a s e a	l a z e	l a s e a	l a z a	l a s e a	a s h a r	l a s e a	l a s e a
m a l i a	m a r i a	m a l i a	m a r i a	m a l i a	m a r i a	m a l i a	m a l i a
s e ' k a t a s i ' a e	z a c h a r t u s	s a c h a t u s	z a c h a t u s	s a c h a t u s	s a c h a s	s a c h a t u s	s a c h a t u s
s e m i	s m	m a i	m a i	m a i	s e m	m a i	m a i
h e m a s i ' a e	h a m a s	h e m u s	h e m a s	h e m u s	a m a s	h e m u s	h e m u s
m a t a i y a s i	m a t t h i a s	m a t h i a s	m a t i a s	m a t h i a s	m a t h a s	m a t h i a s	m a t h i a s
a l e t a s i ' a	a l e t u s	a l e t u s	a r e t u s	a l e t u s	a l i a s	a l e t u s	a l e t u s
h a t i n o	e	h a d e n o	h a d e n o	h a d e n o	a t h e n	h a d e n o	h a d e n o
p e t e l e h e m u	b e t h e r a h e m	b e t h l e h e m	b e t h l e h e m	b e t h l e h e m	b e r e l	b e t h l e h e m	b e t h l e h e m
l i v a e	l e v e	l i v a e	l e v a	l i v a e	e l i a	l i v a e	l i v a e
a n a ' a e	a n n a	a n n a	a n e	a n n a	a n a	a n n a	a n n a
p i e l i s e p u l i	b e e l z e b u b	b e e l z e b u b	b e e l z e b u b	b e e l z e b u b	b e l e s	b e e l z e b u b	b e e l z e b u b
k a n i s o l e	g a n i s h e	c a n i s o l e	c a n i c o l e	c a n i s o l e	c a n i a	c a n i s o l e	c a n i s o l e
k a l a i s i ' a	c l i s	c r i s	c a r i s	c r i s	c a r i s	c r i s	c r i s
n e s a n a	s h p h a n a	n e s a n a	n e s a n a	n e s a n a	n e s h a	n e s a n a	n e s a n a
t i m o t i f e	t i m o t	t i m o t i p h e	t i m o t i p h e	t i m o t i p h e	t i m o l	t i m o t i p h e	t i m o t i p h e
e p o l o n a	e p o l	a p o l o n a	a p o l l o n	a p o l o n a	j o p h o n	a p o l o n a	a p o l o n a
o h a p a l i ' n e a ' m a k i	o h a b r i a h n	o h a b r e e a m a g i	o h a b r e a m a g i	o h a b r e e a m a g i	o p h r i s	o h a b r e e a m a g i	o h a b r e e a m a g i
e m o s i	a m o s	e m o s	a m o s	e m o s	e m o s	e m o s	e m o s
m a l i a	m a r i a	m a l i a	m a r i a	m a l i a	m a r i a	m a l i a	m a l i a
