unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a d i y o t i r i f e s	d i o t r i p h e s	a d d i o t r i p h e s	a d i o t r i p h e s	a d d i o t r i p h e s	d i p o t r u s	a d d i o t r i p h e s	a d d i o t r i p h e s
i b r a h i m	a b r a h a m	a b r a h a m	a b r a h i m	a b r a h a m	e b e r	a b r a h a m	a b r a h a m
i t o p i y a	c u s h	i t o p p i a	c u s h	i t o p p i a	e p h o p h i a	c u s h	c u s h
a l i y u d u	l y u d	a l i u d u	l y u d u	a l i u d u	l i d o d u s	a l i u d u	a l i u d u
a p o l o s	p o l o s	a p o l o s	a p o l o s	a p o l o s	p o l o s	a p o l o s	a p o l o s
a k o r a n t i	c h o r a n t i	c h o r a n t i	c o r a n t i	c h o r a n t i	c o r a n	c h o r a n t i	c h o r a n t i
a p u b i y u s	p u b e u s	p u b i u s	p u b i u s	p u b i u s	p u r i u s	p u b i u s	p u b i u s
a z h e t a	j e t h a	j e t a	j e t a	j e t a	j e t h a h	j e t a	j e t a
a y u f i r e t i s	u p h r e t i s	a u p h i r e t s	a i e i r e t s	a u p h i r e t s	e u p h a r	a u p h i r e t s	a u p h i r e t s
i b r a n i	a b r a n i	a b r a n i	a b r a n i	a b r a n i	b e r a n	a b r a n i	a b r a n i
a s o p a t a	s o p a t h a	a s o p a t e	a s o p a t a	a s o p a t e	s o p a t	a s o p a t a	a s o p a t e
k i r i s t i	m e s h i h a	c r i s h i	c h r i s h i	c r i s h i	s h e u s	c r i s h i	c r i s h i
i d u m i y a	i d u m i a	o d e m i a	i d u m i a	o d e m i a	e d i a m	i d u m i a	i d u m i a
a p o l o n i y a	p o l o n i a	a p o l o n i a	a p o l o n i a	a p o l o n i a	p o l o n i a	a p o l o n i a	a p o l o n i a
a m a g o k	m a g o c h	m a g o c	m a g o c	m a g o c	m a g o g	m a g o c	m a g o c
i l i r i k u m	e l i r i c u m	i l i r i c u m	i l i r i c u m	i l i r i c u m	e l i c a m	i l i r i c u m	i l i r i c u m
a n a h u m	n a h u m	a n a h u m	a n a h m	a n a h u m	n h a u m	a n a h u m	a n a h u m
i t o p i y a	c u s h	i t o p p i a	c u s h	i t o p p i a	e p h o p h i a	c u s h	c u s h
a k a n a	a c h a n	a c a n a	a c h a n a	a c a n a	a n a n	a c a n a	a c a n a
a f i l i m o n	p h i l i m o n	a p h i l i m o n	a p h i l i m o n	a p h i l i m o n	p h i l o n	a p h i l i m o n	a p h i l i m o n
a b u w a n a z h i s	p o a n n a g i s	a b u v e n j i s	a b o a n j i s	a b u v e n j i s	b e g a n i s	a b u v e n j i s	a b u v e n j i s
