unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a h a z i		a h a z	a h a z	a h a z	a h e s	a h a z	a h a z
o g u s t i		o g u s t u s	o g u s t u s	o g u s t u s	h o u s	o g u s t u s	o g u s t u s
s i i m e y o o		s i m e j o	s i m e o	s i m e j o	s i m e n	s i m e j o	s i m e j o
t r o w a a s i		t r o a s	t r o a s	t r o a s	t r o r e s	t r o a s	t r o a s
y u d a	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a	j u d a
r a a g o o	r a g o	r a g o	r a g o	r a g o	r a a o l o s	r a g o	r a g o
i y e k i	h i e c u s	i e c i	i e c h	i e c i	i e p h a	i e c i	i e c i
g a y u u s i	g a u s	g a u s	g a u s	g a u s	g a g u s	g a u s	g a u s
e z e k i y a s i		e z e c i a s	e z e c i a s	e z e c i a s	e s e c h i a	e z e c i a s	e z e c i a s
NG d o o n i - i		n d o n - h	n d o n - i	n d o n - h	m o n n i a	n d o n - h	n d o n - h
k i n i i d i	q u i n i d	c i n y d i	c i n i d	c i n y d i	c i l i a	c i n y d i	c i n y d i
i z r e e l i		i s r e l	i s r a e l	i s r e l	c h e e l	i s r e l	i s r e l
a p o l i y o o		a p o l l i o	a p o l i o	a p o l l i o	a p o l i o n	a p o l l i o	a p o l l i o
m a a r k i		m a r c h u s	m a r c h u s	m a r c h u s	m a r o s	m a r c h u s	m a r c h u s
i s a k a a r i		i s a c a r	i s a c a r	i s a c a r	i c a c h a	i s a c a r	i s a c a r
k i k p e d v		k c p e d u	c i c p e d v	k c p e d u	c h e u l	k c p e d u	k c p e d u
g a b a t a	g a b a t h a	g a b a t a	g a b a t a	g a b a t a	g a b t h a	g a b a t a	g a b a t a
s a n k r e e	c e n c h r e a	s a n c h r e a	s a n c r e	s a n c h r e a	s a n r e e	s a n c h r e a	s a n c h r e a
p i l a a t i		p i l a t h	p i l a t h	p i l a t h	p l i l a t	p i l a t h	p i l a t h
k a n a a n i		c a n a n	c a n a n	c a n a n	c a n a n	c a n a n	c a n a n
y u s t u u s i	j u s t u s	j u s t u s	j u s t u s	j u s t u s	j u s t u s	j u s t u s	j u s t u s
e e v i		e u h	e v i	e u h	m e u s	e u h	e u h
e p a y i n e e t i		e p a i n e t h	e p h a i n e t h	e p a i n e t h	e p h e n e t	e p a i n e t h	e p a i n e t h
a b i i l e e n i		a b y l e n e	a b y l e n e	a b y l e n e	a b e l	a b y l e n e	a b y l e n e
a a b e e l i		a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
p i l a a t i		p i l a t h	p i l a t h	p i l a t h	p l i l a t	p i l a t h	p i l a t h
t e s a l o o n i k i	t h e s a l o n i c u s	t e s a l o n i c i	t e s a l o n i c u s	t e s a l o n i c i	t h e s h e o n	t e s a l o n i c i	t e s a l o n i c i
a m o o s i	a m o s e s	a m o s i	a m o s	a m o s i	a m o s	a m o s i	a m o s i
m e l k i s e d e e k i		m e l c i s e d e k	m e l c i s e d e k	m e l c i s e d e k	m e u l i a	m e l c i s e d e k	m e l c i s e d e k
s e v a	s e u a	s e u a	s e v a	s e u a	s h e a h	s e u a	s e u a
a l f e e	a l p h e a	a l p h e e	a l p h e	a l p h e e	a l e p h a	a l p h e e	a l p h e e
m a s e d o n i i	m a k e d u n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m e s e d o n i a	m a c e d o n i a	m a c e d o n i a
k r i s t v		c h r i s t	c h r i s t	c h r i s t	c h e s u s	c h r i s t	c h r i s t
g a l i l e e	g a l i l a	g a l i l e	g a l i l e	g a l i l e	g a l i a	g a l i l e	g a l i l e
b e l z e e b u u l i	b e l s e b u l u s	b e l z e b u l i	b e l z e b u l	b e l z e b u l i	e b e s a b e l	b e l z e b u l i	b e l z e b u l i
a n a	a n a	a n a	a n a	a n a	a n n a	a n a	a n a
e l e y a z a a r i		e l e j a z a r u s	e l i j a z a r	e l e j a z a r u s	e l e z a r e n	e l e j a z a r u s	e l e j a z a r u s
e f a t a	e p h a t h a	e p h a t a	e p h a t a	e p h a t a	m e p h a t h e s	e p h a t a	e p h a t a
t a a r a a	t a r a	t a r a	t a r a	t a r a	t h a r a h	t a r a	t a r a
f e n i k s i		p h e n i x	f e n i x	p h e n i x	p h e i a	p h e n i x	p h e n i x
y e r u u s a l e m		j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u s	j e r u s a l e m	j e r u s a l e m
b o a n e r j e s i		b o a n e r g e s	b o a n e r g e s	b o a n e r g e s	b e n a g e s	b o a n e r g e s	b o a n e r g e s
m o o y i i z i	m u s h a	m u s h a	m o s h a	m u s h a	m o u s i a	m u s h a	m u s h a
g a l a a s i i	g a l a c i a	g a l a s i a	g a l a s i a	g a l a s i a	g a l e s	g a l a s i a	g a l a s i a
e b u l u u s i	h e b u l l u s	e b u l u s	e b u l u s	e b u l u s	e b u l u s	e b u l u s	e b u l u s
y o o b v		j o b u	j o b v	j o b u	j o b	j o b u	j o b u
r o b o a m	c a b o a m	r o b o a m	r o b o a m	r o b o a m	r o b a m	r o b o a m	r o b o a m
n o w o b i		ñ o o b i	n o o b	n o o b i	p o p o b	n o w o b i	
n i i k o d e m		n i c o d e m	n i c o d e m	n i c o d e m	n i c o m e	n i c o d e m	n i c o d e m
e p a f r a a s i		e p a p h r a s	e p a p h r a s	e p a p h r a s	e p h e p h a s	e p a p h r a s	e p a p h r a s
r e j i y o o	r h r a m o s	r e g i o	r e g i o	r e g i o	r e m i o s	r e g i o	r e g i o
y o o s i	j o s e s	j o s i	j o s	j o s i	j o s h a	j o s i	j o s i
NG h i g		n h i n	n h g	n h i n	m i n a	n h i n	n h i n
n a t a a n a y e e l i		n a t a n a e l	n a t a n a j e l	n a t a n a e l	n a t h e e l	n a t a n a e l	n a t a n a e l
l e e v i	l e v e	l e v	l e v i	l e v	l e e	l e v	l e v
a k a y i		a c a i	a c a i	a c a i	a c h e n	a c a i	a c a i
p i s i d i i	p y s i d i a	p y s i d i a	p y s i d i a	p y s i d i a	p i l i d i a	p y s i d i a	p y s i d i a
