unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
l oo k   b e t  r u s   k    n i y aa y   d au   g aa t    th aa		a s h e m u n e c ៏ n i c a c h i p h a t h a	l u c h e m u s e n e s a s i au g a t h a	a s h e m u n e c  n i c a c h i p h a t h a	e l i a h	l oo k   b e t  r u s   k    n i y aa y   d au   g aa t    th aa	
s e c k  t ii   s  l aa p		s h o a m i s l e b o s	s e c d i l a b	s h o a m i s l e b o s	e s h i a	s h o a m i s l e b o s	s h o a m i s l e b o s
s  t e c   y  uu s ie s   p ng  k oe t s  t e c   y e k uu n aa s		a j o s ៀ s p o c s t a j c o n a s	s e c h u s ie s b o a r t s e c j e c o n i a s	a j o s ie s p o c s t a j c o n a s	j u s h a	s  t e c   y  uu s ie s   p ng  k oe t s  t e c   y e k uu n aa s	
h oe y   y oe ng   p aa n   c e ny   s M b au   d au   t oo y   m aa n   l oo k   q oe r ii s  t aa k   j aa   q  n k   s  r u k   m  aa s e t uu n   d au   j aa m ua y		s h e b a n o e p s ំ p p h i p d e c h a l t a s r i m a c h e b a i n t s r a m a s e a n i p h a n a n j	j r o b a n c e ny s i p au i au t h e m a n u s c a r r i s t a c h a e u s m a s e d o n i au h a m i s	s h e b a n o e p s M p p h i p d e c h a l t a s r i m a c h e b a i n t s r a m a s e a n i p h a n a n j	m e s h e a	h oe y   y oe ng   p aa n   c e ny   s M b au   d au   t oo y   m aa n   l oo k   q oe r ii s  t aa k   j aa   q  n k   s  r u k   m  aa s e t uu n   d au   j aa m ua y	
t ae   t  r uu v   dh  l aa k    d au   k  n u ng   s  th aa n   n r k   t ae l   m aa n   bh  l oe ng   m i n   c e H   r l t		s t r o o h ធ l a c h o s i p h a n u o s t h a n n r c d e l a p l s e m i n o e ះ e r l t o s	t e t r o i dh l a i c n o o s t h a n n r d e l m a n p l r o m e n c e s l i m	s t r o o h dh l a c h o s i p h a n u o s t h a n n r c d e l a p l s e m i n o e H e r l t o s	p h a r i a h	t ae   t  r uu v   dh  l aa k    d au   k  n u ng   s  th aa n   n r k   t ae l   m aa n   bh  l oe ng   m i n   c e H   r l t	
n aa ng   h aa k aa r   j aa   bh  n M   s  ii nn aa y   n au   s  r u k   q aa r  aa p		n a o h s a c h a r a p i n ំ s s i n a c n p s r o e b r e b o s	n a o h a c h a r h a p n i s i n a s n au r c i a r a b	n a o h s a c h a r a p i n M s s i n a c n p s r o e b r e b o s	r a b a b b a b e b e b a b e b a b e b a b e b a b e b a b e b a b e b a b e b a b	n aa ng   h aa k aa r   j aa   bh  n M   s  ii nn aa y   n au   s  r u k   q aa r  aa p	
t e p  ii th aa   q oe y		t e p s i t h a a e u s	e b i t h a e s	t e p s i t h a a e u s	z a c h e s	t e p s i t h a a e u s	t e p s i t h a a e u s
b  r m d aa M ng   p ng p  q uu n   d aa M ng   q s    k    j m  r aa p s ua r   m k   q  n k   t ae r		t h a i a n p o p a o n i a n a s c ៏ h a m u e b s i r e m e i n a d e r	p r m i a n o p o p a o n i a n o a s c h m r a b b s r m a e t e r	t h a i a n p o p a o n i a n a s c  h a m u e b s i r e m e i n a d e r	r a b e b a b	b  r m d aa M ng   p ng p  q uu n   d aa M ng   q s    k    j m  r aa p s ua r   m k   q  n k   t ae r	
l oo k   q oe r ii s  t aa k   j aa   q  n k   j aa p    gh u M gh aa M ng   j aa m ua y   kh  ny u M		t a s r i m a c h e b a i n c h a p o e c u ំ c a n a m n j e c	l u c i r r i s t a c h a e h a p c o n c a n o h a m j u n	t a s r i m a c h e b a i n c h a p o e c u M c a n a m n j e c	s a l i a	l oo k   q oe r ii s  t aa k   j aa   q  n k   j aa p    gh u M gh aa M ng   j aa m ua y   kh  ny u M	
l oo k   s e r uu k   j aa   k uu n   l oo k   r e h  uu		a s e r o c h a n a e s s o s	h o s e r o c h a c o n l r e h o	a s e r o c h a n a e s s o s	e l i a h	a s e r o c h a n a e s s o s	a s e r o c h a n a e s s o s
