unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
c r e t e	c r e t e	c r e t e	c r e t e	c r e t e	c r e t e	c r e t e	c r e t e
b e o r	b e o r	b e o r	b e o r	b e o r	b e o r	b e o r	b e o r
m e l c h i z e d e k	m e l c h i s e d e c	m e l c h i s e d e c	m e l c h i s e d e c	m e l c h i s e d e c	m e l c h	m e l c h i s e d e c	m e l c h i s e d e c
j u d a h	j u d a h	j u d a h	j u d a h	j u d a h	j u d a h	j u d a h	j u d a h
p e i f o s	p e p h o s	p e i f o s	p e i p h o s	p e i f o s	p e i p o s	p e i f o s	p e i f o s
p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p
z e r u b b a b e l	z a r u b b a b e l	z e r u b b a b e l	z e r u b b a b e l	z e r u b b a b e l	z e r u b a b e l	z e r u b b a b e l	z e r u b b a b e l
k a p a d o s i a	c a p a d o s i a	c a p a d o s i a	c a p a d o s i a	c a p a d o s i a	c a p a d o s	c a p a d o s i a	c a p a d o s i a
j u d i a	j u d i a	j u d i a	j u d i a	j u d i a	j u d a	j u d i a	j u d i a
s a d u s i	s a d u s i	s a d u s i	s a d u s i	s a d u s i	s a d u s	s a d u s i	s a d u s i
y a m a	y a m a h	y a m a	y a m a	y a m a	m a m a	y a m a	y a m a
k i o s	k i o s	k i o s	k i o s	k i o s	k i o s	k i o s	k i o s
a p o l l o s	a p o l l o s	a p o l l o s	a p o l l o s	a p o l l o s	a p o l o s	a p o l l o s	a p o l l o s
m a r y	m i r i a m	m r y a	m a r y	m r y a	m a r i a m	m a r y	m r y a
i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l	i s r a e l
o n e s i m u s	o n e s i m u s	o n e s i m u s	o n e s i m u s	o n e s i m u s	o n e s i m u s	o n e s i m u s	o n e s i m u s
f e s t u s	p h e s t u s	f e s t u s	f e s t u s	f e s t u s	p e s t u s	f e s t u s	f e s t u s
c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e c	c a n d a c e	c a n d a c e
