unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e b e r e	e b e r	e b e r	e b e r e	e b e r	h e r e	e b e r	e b e r
a b r a g a m e		a b r a h a m	a b r a h a m	a b r a h a m	a r a m a m	a b r a h a m	a b r a h a m
l a m e k e		l a m e c h	l a m e c e	l a m e c h	l a m e	l a m e c h	l a m e c h
e l i m a s e		e l i m a s	e l i m a s	e l i m a s	e l m a s	e l i m a s	e l i m a s
a f i a	a r c h i p p u s	a p p h i a	a p h i a	a p p h i a	h a p p h a	a p p h i a	a p p h i a
k e l e s e s e		c l e s e s	c l e s s e	c l e s e s	c r e s s	c l e s e s	c l e s e s
t o l e m a y i s e		t o l e m m a u s	t o l e m m a u s	t o l e m m a u s	t h o m a s	t o l e m m a u s	t o l e m m a u s
z e f i t e	z e p t u s	z e p h i t h	s e p i t e	z e p h i t h	j e p h	z e p h i t h	z e p h i t h
e t i k e	e t y c h	e t i c e	e t i c e	e t i c e	e t h e m	e t i c e	e t i c e
g e b r e	b r	g e b r a h	g e b r e	g e b r a h	r e b e	g e b r e	g e b r a h
s o d o m e		c o d o m e	s o d o m e	c o d o m e	s h o d	s o d o m e	c o d o m e
k o l o d i a		c l o d i a	c o l o d i a	c l o d i a	c r o d i a	c l o d i a	c l o d i a
i d u m e	i d m	i d o m e	i d u m	i d o m e	s i d o m	i d o m e	i d o m e
a p o l i o n e		a p o l i o n	a p o l i o n e	a p o l i o n	a p h o l o n	a p o l i o n e	a p o l i o n
m a l a l e l e	m a l l e l	m a l a l e l	m a l a l e l	m a l a l e l	m a l l e l	m a l a l e l	m a l a l e l
i l i r i	i l y r i a	i l i r y	i l i r i	i l i r y	i l i a	i l i r i	i l i r y
n a w u m e		n a u m u s	n a u m e	n a u m u s	g a r o m	n a u m u s	n a u m u s
e b u l o s e		e b u l o s	e b u l o s s e	e b u l o s	e b u s	e b u l o s	e b u l o s
