unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
s h i l l e m	s h i l l e m	s h i l l e m	s h i l l e m	s h i l l e m	s h i l l a m	s h i l l e m	s h i l l e m
p i t e r	p e t e r	p e t e r	p e t e r	p e t e r	p e t e r	p e t e r	p e t e r
p a i l a t	p h i l a t h	p h i l a t h	p h i l a t h	p h i l a t h	p i l a t h	p h i l a t h	p h i l a t h
b e r e k a i a	b e r e k i a h	b e r e k i a h	b e r e k i a h	b e r e k i a h	b e r a k i a h	b e r e k i a h	b e r e k i a h
s a m s o n	s a m s o n	s a m s o n	s a m s o n	s a m s o n	s h o m o n	s a m s o n	s a m s o n
j e k o b	j a k u b	j a k u b	j a k u b	j a k u b	j a k o b	j a k u b	j a k u b
m e h a n e i m	m a h a n a i m	m a h a n a i m	m a h a n a i m	m a h a n a i m	m e h a n i m	m a h a n a i m	m a h a n a i m
t a p a n e s	t a p h a n e s	t a p p a n e s	t a p p a n e s	t a p p a n e s	t a p h a n e s	t a p p a n e s	t a p p a n e s
a z o t o s		a z o t u s	a z o t u s	a z o t u s	a z o t h u s	a z o t u s	a z o t u s
a b b a	a b b a h	a b b a	a b b a	a b b a	a b b a h	a b b a	a b b a
m i r e r a i	m e r a r i	m e r e r a i	m e r e r a i	m e r e r a i	m i r a i	m e r e r a i	m e r e r a i
j e d a i e l	j e d i e l	j e d a i e l	j e d a i e l	j e d a i e l	j e d a i e l	j e d a i e l	j e d a i e l
a p o l l o s		a p o l l u s	a p o l l o s	a p o l l u s	a p o l l u s	a p o l l u s	a p o l l u s
j i r a m e e l	j e r a m e e l	j e r a m a e l	j e r a m e e l	j e r a m a e l	j i r a m e l	j e r a m e e l	j e r a m e e l
b e a l a	b a a l a h	b a a l a	b a a l a	b a a l a	b a a l a h	b a a l a	b a a l a
i d e n	e d a n	i d a n	i d a n	i d a n	e d e n	i d a n	i d a n
b a r s e b a s	b a r s a b a s	b a r s a b a s	b a r s a b a s	b a r s a b a s	b a r s e b a s	b a r s a b a s	b a r s a b a s
b a r t o l o m u	b a r t o l o m u	b a r t u l o m u	b a r t u l o m u	b a r t u l o m u	b a r t u l u m	b a r t u l o m u	b a r t u l o m u
b i g v a i	b i g v i	b i g v a i	b i g v a i	b i g v a i	b i g i a	b i g v a i	b i g v a i
s i z a r	c a e s a r	s i z a r	s i z a r	s i z a r	s e z a r	s i z a r	s i z a r
e p r a t	e p h r a t h	e p h r a t h	e p h r a t h	e p h r a t h	a p h r a t h	e p h r a t h	e p h r a t h
s o s i p e t e r	s o s i p a t e r	s o s i p a t e r	s o s i p a t e r	s o s i p a t e r	s o s i p a r	s o s i p a t e r	s o s i p a t e r
s e r a i	s e r i	s e r a i	s e r a i	s e r a i	s h e r i	s e r a i	s e r a i
b a r t i m e o s		b a r t h i m e u s	b a r t h i m e o s	b a r t h i m e u s	b a r t i m a s	b a r t h i m e u s	b a r t h i m e u s
t a r s h i s h	t a r s u s	t a r s h i s h	t a r s h i s h	t a r s h i s h	t a r s u s	t a r s h i s h	t a r s h i s h
b a r a b b a s	b a r a b b a s	b a r a b b a s	b a r a b b a s	b a r a b b a s	b a r a b a s	b a r a b b a s	b a r a b b a s
i l i e z a r	e l i e z a r	e l i e z a r	e l i e z a r	e l i e z a r	e l i e z e r	e l i e z a r	e l i e z a r
s i l i s i a	s e l e u c i a	s e l e u c i a	s e l e u c i a	s e l e u c i a	c y l i c i a	s e l e u c i a	s e l e u c i a
m o s e s	m o s e s	m o s e s	m o s e s	m o s e s	m o s e s	m o s e s	m o s e s
g o s h e n	g o s h a n	g o s h a n	g o s h a n	g o s h a n	g o s h e n	g o s h a n	g o s h a n
p o n t o s		p o n t u s	p o n t u s	p o n t u s	p o n t u s	p o n t u s	p o n t u s
m a g e d a n	m a g a d a n	m a g a d a n	m a g e d a n	m a g a d a n	m a g e d a n	m a g e d a n	m a g a d a n
t e h a t	t a h a t h	t a h a t h	t a h a t h	t a h a t h	t e h a t h	t a h a t h	t a h a t h
e k a n	e c h a n	e c h a n	e c h a n	e c h a n	a k a n	e c h a n	e c h a n
a s h b e l	a s h b e l	a s h b e l	a s h b e l	a s h b e l	a s h b e l	a s h b e l	a s h b e l
s i s e r a	s y s e r a h	s i s e r a	s i s e r a	s i s e r a	c y s e r a h	s i s e r a	s i s e r a
k l i o p a s	c l i o p a s	c l i o p a s	c l i o p a s	c l i o p a s	c h i o p h a s	c l i o p a s	c l i o p a s
h a z e r o t	h a z a r o t h	h a z a r o t h	h a z a r o t h	h a z a r o t h	h a z e r o t h	h a z a r o t h	h a z a r o t h
j e p l a a k l o k		j e p h c a a c h c ọ c h	j e p h l a a c h l o c h	j e p h c a a c h c o c h	j e p h p a a k	j e p l a a k l o k	
e b r e a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h	a b r a h a m	a b r a h a m
f i l i x	f e l i x	f i l i x	f i l i x	f i l i x	g e l e	f i l i x	f i l i x
o b e d	o b a d	o b a d	o b a d	o b a d	o b a d	o b a d	o b a d
b e l e a m	b a l a a m	b e l a h a m	b e l a a m	b e l a h a m	b a l e a m	b e l a h a m	b e l a h a m
s a p p a i r a	s h a p p i r a	s a p p h i r a	s a p p h i r a	s a p p h i r a	c h p p a i r a	s a p p h i r a	s a p p h i r a
e s a i a	e s i a h	e s i a h	e s i a h	e s i a h	e s i a h	e s i a h	e s i a h
r a m	r a m	r a m	r a m	r a m	r a m	r a m	r a m
a k e i a	a c h a i a	a c h a i a	a c h a i a	a c h a i a	c c h e i a	a c h a i a	a c h a i a
m e a t	m a a t h	m e a t h	m e a t h	m e a t h	m a a t h	m e a t h	m e a t h
n i n e v a	n e n a v a	n e n e v a	n e n e v a	n e n e v a	n i n a v a	n e n e v a	n e n e v a
e l i p e l e t	e l i p e l e t h	e l i p h e l e t h	e l i p h e l e t h	e l i p h e l e t h	e l i p h e t	e l i p h e l e t h	e l i p h e l e t h
m a t u	m a t h u	m a t h u	m a t h u	m a t h u	m a t h	m a t h u	m a t h u
m e s h a k	m e s h a k	m e s h a k	m e s h a k	m e s h a k	m a s h a c h	m e s h a k	m e s h a k
h o r e b	h o r e b	h o r e b	h o r e b	h o r e b	h o r e b	h o r e b	h o r e b
i l a i	e l i	e l i	e l i	e l i	e l i	e l i	e l i
e b i s h a i	a b i s h a i	a b i s h a i	a b i s h a i	a b i s h a i	e b i s h a i	a b i s h a i	a b i s h a i
k e d e s h	k a d e s h	k a d e s h	k a d e s h	k a d e s h	c a d e s h	k a d e s h	k a d e s h
e p a p r a s	e p a p h r a s	e p h a p h r a h s	e p h a p h r a h s	e p h a p h r a h s	e p h a p h r a s	e p h a p h r a h s	e p h a p h r a h s
a n d r u	a n d r u	a n d r u	a n d r u	a n d r u	a n d r u	a n d r u	a n d r u
d a m e r i s	d a m a r i s	d a m a r i s	d a m a r i s	d a m a r i s	d a m e r	d a m a r i s	d a m a r i s
r u b e n	r u b a n	r u b b a n	r u b b a n	r u b b a n	r u b e n	r u b b a n	r u b b a n
j o s e p	j o s e p h	j o s e p h	j o s e p h	j o s e p h	j o s e p h	j o s e p h	j o s e p h
g a m e l i e l	g a m a l i e l	g a m a l i e l	g a m a l i e l	g a m a l i e l	g a m e l	g a m a l i e l	g a m a l i e l
h i b e r	h e b e r	h i b e r	h i b e r	h i b e r	h e b e r	h i b e r	h i b e r
t i o p i l o s		t i o p h i l u s	t i o p h i l o s	t i o p h i l u s	t i o p h i l u s	t i o p h i l u s	t i o p h i l u s
k l a u d i a	c l a u d i a	c l a u d i a	c l a u d i a	c l a u d i a	c h a u u d i a	c l a u d i a	c l a u d i a
h o s h i a	h o s h e a	h o s h i a	h o s h i a	h o s h i a	h o s h i a	h o s h i a	h o s h i a
e n a k	a n a k	e n n a c h	e n n a c h	e n n a c h	a n a c h	e n n a c h	e n n a c h
m a s e d o n i a	m a k e d u n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a
h u p a m	h u p h a m	h u p h a m	h u p h a m	h u p h a m	h u p h a m	h u p h a m	h u p h a m
n a z e r e t	n a z a r e t h	n a z a r e t h	n a z a r e t h	n a z a r e t h	n a z e t h	n a z a r e t h	n a z a r e t h
g a d	g a d	g a d	g a d	g a d	g a d	g a d	g a d
b u z	b u z	b u z	b u z	b u z	b u z	b u z	b u z
p i n e h a s	p e n a h a s	p h o e n a h a s	p h o e n a h a s	p h o e n a h a s	p h i n e h a s	p h o e n a h a s	p h o e n a h a s
b e t s e i d a	b e t h s a i d a	b e t h s a i d a	b e t h s a i d a	b e t h s a i d a	b e t s h a i d a	b e t h s a i d a	b e t h s a i d a
j o n a	j o n a h	j o n a	j o n a	j o n a	j o h n a	j o n a	j o n a
e z r a	e z r a h	e z r a	e z r a	e z r a	a z r a h	e z r a	e z r a
i n o s h	e n o s h	e n o s h	e n o s h	e n o s h	i n o s h	e n o s h	e n o s h
e b a i h u	a b i h u	a b i h u	a b i h u	a b i h u	e b i h a h	a b i h u	a b i h u
e b e l	e b e l	e b e l	e b e l	e b e l	a b e l	e b e l	e b e l
p i b e	p e b e	p h i b e	p h i b e	p h i b e	p h i b e	p h i b e	p h i b e
t r a i p i n a	t r y p e n a h	t r y p h i n a	t r y p h i n a	t r y p h i n a	t r a i p h i n a	t r y p h i n a	t r y p h i n a
a h i m e l e k	a h i m e l e c h	a h i m e l e c h	a h i m e l e c h	a h i m e l e c h	a h i m e l e c h	a h i m e l e c h	a h i m e l e c h
m a t t a n a i a	m a t t h a n i a h	m a t t h a n i a h	m a t t h a n i a h	m a t t h a n i a h	m a t t a n i a h	m a t t h a n i a h	m a t t h a n i a h
s i a l t i e l	s i a l t i e l	s i a l t i e l	s i a l t i e l	s i a l t i e l	s i a l t i a	s i a l t i e l	s i a l t i e l
e h a s u i r o s		a h a s u i r u s	a h a s u i r u s	a h a s u i r u s	e h a s u r u s	a h a s u i r u s	a h a s u i r u s
l i s t r a	l y s t r a h	l i s t r a	l i s t r a	l i s t r a	l y s t r a	l i s t r a	l i s t r a
m a t t a t	m a t t h a t	m a t t a t h	m a t t a t h	m a t t a t h	m a t t a t	m a t t a t h	m a t t a t h
g e n e s a r e t	g a n e s a r e t h	g e n e s a r e t h	g e n e s a r e t h	g e n e s a r e t h	g e n e s r e t h	g e n e s a r e t h	g e n e s a r e t h
b e h u r i m	b a h u r i m	b e h u r i m	b e h u r i m	b e h u r i m	b e h u r i m	b e h u r i m	b e h u r i m
h e m a n	h a m a n	h e m a n	h e m a n	h e m a n	h a m a n	h e m a n	h e m a n
i l a	e l a h	e l a h	e l a h	e l a h	e l a h	e l a h	e l a h
e p p a t a	e p p h a t h a	e p p a t h a	e p p a t h a	e p p a t h a	a p p p a t a	e p p a t h a	e p p a t h a
t a i m o n	t i m m o n	t i m o n	t i m o n	t i m o n	t a i m o n	t i m o n	t i m o n
p i l i p p a i	p h i l i p p a i	p h i l i p p a i	p h i l i p p a i	p h i l i p p a i	p i l i p p a i	p h i l i p p a i	p h i l i p p a i
z i p o n	z i p h o n	z i p o n	z i p h o n	z i p o n	z i p o n	z i p o n	z i p o n
b e n j a m i n	b e n j a m i n	b e n j a m i n	b e n j a m i n	b e n j a m i n	b e n - a m	b e n j a m i n	b e n j a m i n
m a i k o l		m i c h u l	m a i c o l	m i c h u l	m i c h u l	m i c h u l	m i c h u l
g e z a	g a z a h	g e z z a	g e z z a	g e z z a	g a z a h	g e z z a	g e z z a
i t i o p i a	i t i o p h i a	i t i o p h i a	i t i o p h i a	i t i o p h i a	c u s h	i t i o p h i a	i t i o p h i a
j e z e r	j e z e r	j e z e r	j e z e r	j e z e r	j a z e r	j e z e r	j e z e r
r i p a i m	r i p i m	r i p a i m	r i p a i m	r i p a i m	r i p h a i m	r i p a i m	r i p a i m
k o s a m	k o s a m	k o s a m	c h u s a m	k o s a m	k o s a m	k o s a m	k o s a m
n e o m i	n e o m i	n e o m i	n e o m i	n e o m i	n a o m	n e o m i	n e o m i
e m m e o s		a m m e u s	a m m a u s	a m m e u s	e m m a u s	a m m e u s	a m m e u s
r o d a	r h o d a	r o d a	r o d a	r o d a	r o d a h	r o d a	r o d a
j e r i k o	j e r i c o	j e r i c o	j e r i c u	j e r i c o	j e r i c o	j e r i c o	j e r i c o
g e t s e m a n e	g a t c e m a n e	g e t h s e m a n a	g e t h s e m a n a	g e t h s e m a n a	g e t s e m a n	g e t h s e m a n a	g e t h s e m a n a
n e b a l	n e b a l	n e b a l	n e b a l	n e b a l	n a b a l	n e b a l	n e b a l
j o s t o s		j u s t u s	j o s t u s	j u s t u s	j u s t u s	j u s t u s	j u s t u s
a b a i u d	a b i u d	a b i u d	a b i u d	a b i u d	a b i u d	a b i u d	a b i u d
p r i j i a	p r i j e a	p r i j i a	p r i j i a	p r i j i a	p r i j i a	p r i j i a	p r i j i a
