unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e l a m i t a s	e l a m i t a s	e l a m i t a s	e l a m y t t a s	e l a m i t a s	e l i t a s	e l a m i t a s	e l a m i t a s
a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a t h a m	a b r a h a m	a b r a h a m
l a o d i c e a	l a o d i k e a	l a o d i k e i a	l a o d i k e i a	l a o d i k e i a	l o s	l a o d i k e i a	l a o d i k e i a
e n o s		e n o s	e n o s	e n o s	e n o s h	e n o s	e n o s
a p i a	a p i a	a p p i a	a p p i a	a p p i a	a p p i a	a p p i a	a p p i a
c r e t a	c r e t h a	c r e t h a	c r e t h a	c r e t h a	c r e t h a	c r e t h a	c r e t h a
p r o c o r o		p r o c h o r u s	p r e c h o r u s	p r o c h o r u s	p r o c	p r o c h o r u s	p r o c h o r u s
j e r i c o		j e r i c o	j e r i c u s	j e r i c o	j e r i c u s	j e r i c o	j e r i c o
f e s t o	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s	p h e s t u s
m e r c u r i o	m e r c u r i u s	m e r c u r i u s	m e r c u r i u s	m e r c u r i u s	m e r c h i u s	m e r c u r i u s	m e r c u r i u s
e s m i r n a	s m y r n a	e s m i r n a	e s m i r n a	e s m i r n a	e s m i n a n	e s m i r n a	e s m i r n a
c l a u d i o	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s
e m a n u e l	e m a n u e l	e m a n u e l	e m a n u e l	e m a n u e l	e n n u e l	e m a n u e l	e m a n u e l
a p o l i o n		a p o l l i o n	a p o l i o n	a p o l l i o n	a p o p	a p o l i o n	a p o l l i o n
m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n i a	m a c e d o n	m a c e d o n i a	m a c e d o n i a
i s a a c	i s a a k	i s a a c h	i s a a c h	i s a a c h	i s a a c	i s a a c h	i s a a c h
n a i n		n a i n	n a i n	n a i n	n a i n	n a i n	n a i n
e u f r a t e s	e u p h r a t h e s	e u p h r a t h e s	e u p h r a t h e s	e u p h r a t h e s	e u p h r a t h e s	e u p h r a t h e s	e u p h r a t h e s
c a p a d o c i a	c a p a d o k i a	c a p a d o c i a	c a p a d o k i a	c a p a d o c i a	c a p a d	c a p a d o c i a	c a p a d o c i a
f i l a d e l f i a	p h i l a d e l p h i a	p h i l a d e l p h i a	p h i l a d e l p h i a	p h i l a d e l p h i a	p h i l o l i a	p h i l a d e l p h i a	p h i l a d e l p h i a
c a i f a s		c a i p h a s	c a i p h a s	c a i p h a s	c a i p h a s	c a i p h a s	c a i p h a s
j u d a s	j u d a s	j u d a s	j u d a s	j u d a s	j u d a s	j u d a s	j u d a s
e u b u l o	e u b u l u s	e u b u l u s	e u b u l u s	e u b u l u s	e u u l u s	e u b u l u s	e u b u l u s
e n o c	a e n o k	e n o c h	e n o c h	e n o c h	e n o c h	e n o c h	e n o c h
a b i l i n i a	a b i l i n i a	a b i l i n i a	a b i l i n i a	a b i l i n i a	a b i l o n i a	a b i l i n i a	a b i l i n i a
