unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
e l e a s a r		e l e a s a r	e l a z a r u s	e l e a s a r	e l a s a r	e l e a s a r	e l e a s a r
a k a y i		a c h a i	a c h a i	a c h a i	a c a r i a	a c h a i	a c h a i
l a o d i s e		l a o d i s	l a o d i s	l a o d i s	l a o d i u s	l a o d i s	l a o d i s
e p a f e r a s		e p a p h e r a s	e p a p h e r a s	e p a p h e r a s	e p a p h a r	e p a p h e r a s	e p a p h e r a s
a k i l a		a c h i l a	a c h i l a	a c h i l a	a h i l a	a c h i l a	a c h i l a
s i p r e		s i p r e	s i p r e	s i p r e	s i p r a r	s i p r e	s i p r e
p i r u s		p i r u s	p i r u s	p i r u s	p i r u s	p i r u s	p i r u s
j e r e m i		j e r e m i a	j e r e m i	j e r e m i a	z e r e m	j e r e m i	j e r e m i a
g a b r i y a	g a b r i a	g a b r i a	g a b r i a	g a b r i a	g a b r i a s	g a b r i a	g a b r i a
h e r m e s		h e r m a s	h e r m e s	h e r m a s	h e r m a s	h e r m a s	h e r m a s
s e t a k ` i		s e t a c i a	s e t a c i a	s e t a c i a	s	s e t a c i a	s e t a c i a
k e l o p a s		c l o p a s	c l o p a s	c l o p a s	c l o p a s	c l o p a s	c l o p a s
i l i r i		i l i r i a	i l y r i a	i l i r i a	l y r i a	i l i r i a	i l i r i a
a p i a		a p i a	a p i a	a p i a	a p i a s	a p i a	a p i a
s a	s a	s a	s a	s a	h a d e s	s a	s a
e m a n u e l		e m a n u e l	m a n u e l	e m a n u e l	s a n n a	e m a n u e l	e m a n u e l
n a t a n a e l		n a t a n a e l	n a t a n a e l	n a t a n a e l	n a t a e l	n a t a n a e l	n a t a n a e l
e v a		e v a	e v a	e v a	e d a	e v a	e v a
k a r p u s		c h a r p u s	c h a r p u s	c h a r p u s	c a r i a s	c h a r p u s	c h a r p u s
f i l i p		p h i l i p	p h i l i p	p h i l i p	p h i l a p i a	p h i l i p	p h i l i p
k a i n		c a i n	c a i n	c a i n	c a i n a	c a i n	c a i n
j u d e		j u d e	j u d e	j u d e	j u d e a	j u d e	j u d e
e v o d ` i		e v o d i a	e v o d i a	e v o d i a	b e u d	e v o d i a	e v o d i a
e n o s		e n o s	e n o s	e n o s	s n o s	e n o s	e n o s
a b i u d a		a b i u d a	a b i u d a	a b i u d a	a b i j a	a b i u d a	a b i u d a
a b e l		a b e l	a b e l	a b e l	a b e l	a b e l	a b e l
f i l i p		p h i l i p	p h i l i p	p h i l i p	p h i l a p i a	p h i l i p	p h i l i p
t a b i t a		t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a	t a b i t h a
a m f i p o l i		a m p h i p o l i s	a m p h i p o l i s	a m p h i p o l i s	a m	a m p h i p o l i s	a m p h i p o l i s
n a g g a y i		n a g g a i i a h	n a g g a i	n a g g a i i a h	n a u g	n a g g a i i a h	n a g g a i i a h
s a m u e l	s a m u e l	s a m u e l	s a m u e l	s a m u e l	s a m o n	s a m u e l	s a m u e l
a m i n a d a b		a m i n a d a b	a m i n a d a b	a m i n a d a b	a m i n a	a m i n a d a b	a m i n a d a b
m a s e d i n a		m a k e d u n i a	m a k e d u n i a	m a k e d u n i a	m a k e d u n	m a k e d u n i a	m a k e d u n i a
m a t a t a		m a t t a t h a	m a t t a t h a	m a t t a t h a	m a t t h a t h a	m a t t a t h a	m a t t a t h a
g a l a t i		g a l a t i a	g a l a t i a	g a l a t i a	g a l a t i a	g a l a t i a	g a l a t i a
b e l j e b u	b e e l z e b u b	b e e l z e b u b	b e e l z e b u b	b e e l z e b u b	b e l e g a	b e e l z e b u b	b e e l z e b u b
g o m o  r		g o m o r	g o m o r	g o m o r	g o m r a	g o m o r	g o m o r
b e l o		b e l o	b e l o	b e l o	b e l o n	b e l o	b e l o
e f a n e t e		e p h a n e t e	e p h a n e t e	e p h a n e t e	s e p h a n e t	e p h a n e t e	e p h a n e t e
s i k e m		s y c h e m	s h e c h e m	s y c h e m	s h e m	s y c h e m	s y c h e m
