unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
g e m o	g a m o	g e m o	g e m o	g e m o	g e m o	g e m o	g e m o
a b r a h a m d e	a b r a h a m t h	a b r a h a m d e	a b r a h a m d e	a b r a h a m d e	a b r a m	a b r a h a m d e	a b r a h a m d e
l a o d i s i a	l a o d i c i a	l a o d i s i a	l a o d i s i a	l a o d i s i a	l a o d i c a	l a o d i s i a	l a o d i s i a
e n o k	e n o k	e n o c	e n o c	e n o c	e n o n	e n o c	e n o c
a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	a p o l i o n	p a p o l i n	a p o l i o n	a p o l i o n
k r i s p u s	m e s p u s	c r i s p u s	c r i s p u s	c r i s p u s	c r i s u p	c r i s p u s	c r i s p u s
s o p a t e r	s o p a t e r	s o p a t e r	s o p a t e r	s o p a t e r	s o p a t h a	s o p a t e r	s o p a t e r
j e r i k o	j e r i c o	j e r c o	j e r i c o	j e r c o	j e c o r	j e r i c o	j e r i c o
f i l i k s	p h i l i x	p h i l i x	p h i l y c s	p h i l i x	p h i l i c	p h i l i x	p h i l i x
h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s
s p e i n	s p a n	s p a n	s p e i n	s p a n	s h e e n	s p a n	s p a n
k l o d i u s	c l a u d i u s	c l o d i u s	c l o d i u s	c l o d i u s	c l u d d e s	c l o d i u s	c l o d i u s
i l i r i k u m	i l i r i c u m	i l i r i c u m	i l i r i c u m	i l i r i c u m	i l r u s	i l i r i c u m	i l i r i c u m
a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s	a p o l o s
q a NG a NG g o		p a n a n g o	p a n a n g o	p a n a n g o	p i a l	p a n a n g o	p a n a n g o
i m a n u e l	i m a n u e l	i m a n u e l	i m a n u e l	i m a n u e l	i m a n u l	i m a n u e l	i m a n u e l
n a z a r e t	n a z a r e t	n a z a r e t	n a z a r e t	n a z a r e t	n a n a r	n a z a r e t	n a z a r e t
y u o d i a	e u o d i a	e u o d i a	e u o d i a	e u o d i a	e u d i a	e u o d i a	e u o d i a
k a p e r n e a m	c a p p h a r n e a m	c a p e r n e a m	c a p p e r n e a m	c a p e r n e a m	c a e r a m	c a p e r n e a m	c a p e r n e a m
f i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p	p h i l i p
k a i a f a s	c h a i a p h a s	c a i a p h a s	c a i a p h a s	c a i a p h a s	c a i a p h a s	c a i a p h a s	c a i a p h a s
