unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
u z i a s	z i a h	u z i a s	u z i a s	u z i a s	j u s e s	u z i a s	u z i a s
j u p i t e r		j u p i t e r	j u p i t e r	j u p i t e r	j u d	j u p i t e r	j u p i t e r
j o n a s	j o n a s	j o n a s	j o n a s	j o n a s	j o n a s	j o n a s	j o n a s
e s p a n h a	s p a n h a	e s p a n h a	e s p a n h a	e s p a n h a	s p o n e n	e s p a n h a	e s p a n h a
c l a u d i o	c l l u d i u s	c l a u d i u s	c l a u d i u s	c l a u d i u s	c a u d i o n	c l a u d i u s	c l a u d i u s
g a l i l e i a		g a l i l e a	g a l i l e i a	g a l i l e a	g a l i l	g a l i l e i a	g a l i l e a
z o r o b a b e l	z o r o b a b e t h	z o r o b a b e l	z o r o b a b e l	z o r o b a b e l	z u r b e b e l	z o r o b a b e l	z o r o b a b e l
j e r u s a l e m		j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	l e r u s e l a h	j e r u s a l e m	j e r u s a l e m
c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e	c a n d a c e
m e s o p o t a m i a		m e s o p o t â m i a	m e s o p o t h a m i a	m e s o p o t a m i a	m e s o n	m e s o p o t a m i a	m e s o p o t a m i a
s a m u e l	s a m a e l	s a m u e l	s a m u e l	s a m u e l	s h o m	s a m u e l	s a m u e l
a r t e m a s	l r t h e m a s	a r t e m a s	a r t e m a s	a r t e m a s	a r t e m	a r t e m a s	a r t e m a s
h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s	h e r m e s
m a r i a	m a r i a	m a r i a	m a r i a	m a r i a	m a r i a m	m a r i a	m a r i a
a r i m a t e i a		a r i m a t e a	a r i m a t h i a	a r i m a t e a	a r i m	a r i m a t e a	a r i m a t e a
d o r c a s	d o r c a s	d o r c a s	d o r c a s	d o r c a s	d o c r a	d o r c a s	d o r c a s
b e l e m		b e l e m	b e l e m	b e l e m	b e l e z	b e l e m	b e l e m
