unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
i w a k	e u a h	h p h a c h	e u a c h	h p h a c h	e j a h	h p h a c h	h p h a c h
y e i s u w	j e s h u	j e s h u a	j e s h u a	j e s h u a	j a s u	j e s h u a	j e s h u a
y u p i t	j u p h t h	j u s h e m	j u f u s e t h	j u s h e m	j u s t	j u s h e m	j u s h e m
y o l d a n	j o l d a n	j e h o r d a n	j e h o r d a n	j e h o r d a n	j o r a n	j e h o r d a n	j e h o r d a n
k e l e m e n	m e s a m e n	c h e l a m e n	c h e l a m e n	c h e l a m e n	c a r e m	c h e l a m e n	c h e l a m e n
g a l i y o n	g a l i o n	g a l l y o n	g a l i o n	g a l l y o n	g a r e o n	g a l i o n	g a l i o n
d e l u b u b e l	j a r u b u b e l	d e r e u b e u b e l	d e r e u b e u b e l	d e r e u b e u b e l	d a r u b	d e r e u b e u b e l	d e r e u b e u b e l
y e l u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j e r u s a l e m	j a r u s	j e r u s a l e m	j e r u s a l e m
l e y o d i s i y	l a o d i k e i a	l a o d i c i a	l a o d i k e i a	l a o d i c i a	l e o d i a	l a o d i k e i a	l a o d i k e i a
m i d i y a n	m i d i o n	m i d i o n	m i d i a n	m i d i o n	m i i a n	m i d i o n	m i d i o n
s e l u g	s e l e u n	s e l e u g	s e l e u g	s e l e u g	z a e l	s e l e u g	s e l e u g
d a y a n	d i a n a	d i a n a	d i a n a	d i a n a	d i a n a	d i a n a	d i a n a
e m a s	h e r m a s	h e r m a s	h e r m a s	h e r m a s	h a r m a s	h e r m a s	h e r m a s
m a t a d a y	m a t t a d i a h	m a t t a d a i	m a t h a d i a h	m a t t a d a i	m i t a d a d a	m a t t a d a i	m a t t a d a i
a l i s t a k	a r i s t h a h	a r i s t a c h	a r i s t a c h	a r i s t a c h	a r i s t a u s	a r i s t a c h	a r i s t a c h
e l	e l	e l	e l	e l	a r e	e l	e l
b e t e s e i d	b e t h e z e i d	b e t h e z e i d	b e t h s a i d	b e t h e z e i d	b e t h	b e t h e z e i d	b e t h e z e i d
l a s e y	l a z e a	l a s e a s	l a s h e a	l a s e a s	l a s e	l a s e a s	l a s e a s
p i t a	c e p h a	p h i t h a	p h t h a	p h i t h a	c e p h r a	p h i t h a	p h i t h a
b e l o y	b e l o a	b e r o a	b e r o a	b e r o a	b a r o a	b e r o a	b e r o a
s a p a y i l	s i d y r e	s a p p i e l	s a p h a i e l	s a p p i e l	s a p h r a e l	s a p p i e l	s a p p i e l
m e l k i s e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k	m e l c h i z e d e k
s o s t e n	s o s t e n	s o s t e n	s o s t e n	s o s t e n	s u s t e n	s o s t e n	s o s t e n
e i b e l	a b e l	e i b e r	e i b e r	e i b e r	e b a r	e i b e r	e i b e r
