unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
f i i b i	p h y b e	p h e b e	p h i b e	p h e b e	p a u l i b	p h e b e	p h e b e
o n i s e m o s		o n e s i m u s	o n e s i m u s	o n e s i m u s	n o s e n	o n e s i m u s	o n e s i m u s
j u d a s	j u d a s	j u d a s	j u d a s	j u d a s	j u d u d	j u d a s	j u d a s
n a a	n a a	j e h o v a h	j e h o v a h	j e h o v a h	n a a r	j e h o v a h	j e h o v a h
g a d	g a d	g a d	g a d	g a d	g a r	g a d	g a d
j u d i a	j u d e a	j u d i a	j u d i a	j u d i a	j u d a	j u d i a	j u d i a
a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m
y u n i s	e u n i s	j u n e s	j u n i s	j u n e s	j u n u s	j u n e s	j u n e s
g e r a s a	g e r a s e n e s	g e r a s e n e s	g e r a s e n e s	g e r a s e n e s	g e r a h	g e r a s e n e s	g e r a s e n e s
s k i i v a	s c e v a	s c e p h a	s c i s a	s c e p h a	s e c h i a	s c e p h a	s c e p h a
p e u j e n	p o l l u x	p o l l u x	c n i d u s j e n	p o l l u x	p e u l	p o l l u x	p o l l u x
a r e b i a	a r e b i a	a r e b e a	a r e b e a	a r e b e a	a r e b a	a r e b e a	a r e b e a
p i t a	c e p h a	c e p h a s	p i t h a	c e p h a s	p h e t h o s	c e p h a s	c e p h a s
k u s a	c h u s a	c u s a	c u s a	c u s a	c h u s h	c u s a	c u s a
b e r i a	b e r i a	b e r i a	b e r i a	b e r i a	b a r i a	b e r i a	b e r i a
b i t i i n i a	b i t e n i a	b e t e n i a	b e t i n i a	b e t e n i a	b e t h i a	b e t e n i a	b e t e n i a
j u d a	j u d a h	j e w	j u d a	j e w	j u d a	j u d a	j u d a
m a g d a l a	m a g d a l a	m a g d a l a	m a g d a l a	m a g d a l a	m a k e l	m a g d a l a	m a g d a l a
h a e m e n e a s	h a e m e n e a s	h e m e n e a s	h e m e n i a s	h e m e n e a s	h a m e n	h a e m e n e a s	h e m e n e a s
f e l e p	p h i l i p p	p h i l i p	f e l i p	p h i l i p	p h e e l	p h i l i p	p h i l i p
p i t a	c e p h a	c e p h a s	p i t h a	c e p h a s	p h e t h o s	c e p h a s	c e p h a s
