unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
p e l e k o	b e e l k	b e l e g o	p e l e g o	b e l e g o	p e l c i u s	b e l e g o	b e l e g o
a p e r a a m o	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h a m	a b r a h	a b r a h a m	a b r a h a m
l a o t i k a i a	l a o d i c e a	l a o d i c a i a	l a o d i c a i a	l a o d i c a i a	l a o d i c	l a o d i c a i a	l a o d i c a i a
e m a u	e m a	e m a u	e m a u	e m a u	e m a	e m a u	e m a u
a p o l u o n u	a p o l y o n	a p o l y o n y	a p o l y o n y	a p o l y o n y	a p o l i n u w	a p o l y o n y	a p o l y o n y
k e r e s e	c h r e z e	g e r e z e	g e r e z e	g e r e z e	c e r e s	g e r e z e	g e r e z e
p u t e o l i	t e b a d e s	b u t h e o l	b u d e o l i	b u t h e o l	b i e t o l i s	b u t h e o l	b u t h e o l
i e r u s a l e m a	j e r u s h l e m	u r i s a l e m	j e r u s a l e m a	u r i s a l e m	i e r u s h a m	u r i s a l e m	u r i s a l e m
f i l i k i	p h i l i c i s	p h i l i c i	p h i l i c i	p h i l i c i	p h i c i l e	p h i l i c i	p h i l i c i
h e r e m e	h e r e m e	h e r m e	p h l e m e	h e r m e	p e r m e s	h e r e m e	h e r m e
s o s e p a t e r o	s o s p a t r	s o s p a t e r u s	s o s p a t e r u s	s o s p a t e r u s	z o b a t	s o s p a t e r u s	s o s p a t e r u s
k a l a o t i a	c l a u d i a	g a l a o d i a	g a l a o d i a	g a l a o d i a	c l a o d i a	g a l a o d i a	g a l a o d i a
e m a m u e l u	e m a m y e l	e m a m u e l	e m a m u e l	e m a m u e l	e m a m	e m a m u e l	e m a m u e l
a p o l o	a p o l	a p o l o	a p o l o	a p o l o	a p p i l u s	a p o l o	a p o l o
t a l u	t a l	t a l y	t a l y	t a l y	d a l	t a l y	t a l y
i s a a k o	i s a k	i s a a c u s	i s a a k	i s a a c u s	i s a c h	i s a a c u s	i s a a c u s
n a t a n i e l u	n a d a n i e l	n a d a n i e l	n a d a n i e l	n a d a n i e l	n a t h a n i e l	n a d a n i e l	n a d a n i e l
e v o t i a	e v o d i a	e v o d i a	e v o d i a	e v o d i a	e p h o d i a	e v o d i a	e v o d i a
k a p a n a u m i	g a b b a n a h u m i s	g a b b a n a y m i	g a b a n a u m i	g a b b a n a y m i	c a b a n	g a b b a n a y m i	g a b b a n a y m i
f i l i p o	p h i l i b	p h i l i p u s	p h i l i p o	p h i l i p u s	p h i l e u s	p h i l i p u s	p h i l i p u s
k a i s a r e i a	c e s a r i a	c a e s a r e i a	c e s a r e i a	c a e s a r e i a	c a i s a e	c a e s a r e i a	c a e s a r e i a
i u t a i a	j u d e a	j u d a i a	j u d a i a	j u d a i a	j u d i a	j u d a i a	j u d a i a
a i t i o p e	c u s h	a i d i o b e	c u s h	a i d i o b e	a i d i o p	c u s h	c u s h
e l i m a	e l i m	e l i m a	e l i m a	e l i m a	e l i m a	e l i m a	e l i m a
