unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
y e x i i ' e e l	j e h i e l	j e h i e l	j e h i e l	j e h i e l	j i h i e l	j e h i e l	j e h i e l
a f e e q	a p h e k	a p h e k	a p h e k	a p h e k	a p h e k	a p h e k	a p h e k
y e r i x o o	j e r h o	j e r i h o	j e r i h o	j e r i h o	i r i h o	j e r i h o	j e r i h o
t a r s o s	t a r s o s	t a r s u s	t a r s u s	t a r s u s	t a r s u s	t a r s u s	t a r s u s
c e e d e n	e d e n	e d e n	e t h e n	e d e n	e d e n	e d e n	e d e n
b a r t o l o m a y o s	b a r t o l o m a e u s	p a r t o l o m a e u s	b a r t u l o m a e u s	p a r t o l o m a e u s	p r t o l o s	p a r t o l o m a e u s	p a r t o l o m a e u s
b a r t i m a y o s	b a r t i m a e u s	p a r t i m a e u s	p a r t h i m a e u s	p a r t i m a e u s	a r t i m a	p a r t i m a e u s	p a r t i m a e u s
b i l h a h	p i l h a h	p i l h a h	p i l h a h	p i l h a h	b i l l a h	p i l h a h	p i l h a h
k a l d a y	c l d a i	c l d a i	c a l d a i	c l d a i	c a l t a i	c l d a i	c l d a i
e f r a d	e p h r a t h	e p h r a d	e p h r a d	e p h r a d	e p h r a d	e p h r a d	e p h r a d
s h e k e m	s h e c h e m	s h e c h e m	s h e c h e m	s h e c h e m	s h e c h e m	s h e c h e m	s h e c h e m
s e l u k i y a	z e l y c i a	z e l y c i a	z e l y c i a	z e l y c i a	s e l y c i a	z e l y c i a	z e l y c i a
b a a r u u g	b a r u g	b a r u g	b a r u g	b a r u g	b a r u g	b a r u g	b a r u g
w a x a n	v a h a n	v a h a n	v a h a n	v a h a n	b a h a n	v a h a n	v a h a n
c a n a a q	a n a k	a n a k	a n a k	a n a k	a n a k	a n a k	a n a k
b a c a l i i m	b a a l i m	b a a l i m	b a a l i m	b a a l i m	b a a l i m	b a a l i m	b a a l i m
i s e h a a r	i z h a r	i z h a r	i z h a r	i z h a r	i s e h a r	i z h a r	i z h a r
c a s a a h e e l	a z a h e l	a z a h e l	a z a h e e l	a z a h e l	a s a h e l	a z a h e l	a z a h e l
m e s o b o t a m i y a	m e s o p o t h a m e a	m e s o b o t h a m e a	m e s o b o t h a m e a	m e s o b o t h a m e a	m e s o p o t h i a m	m e s o b o t h a m e a	m e s o b o t h a m e a
m a m r e	m a m r e	m a m r e	m a m r e	m a m r e	m a m r e	m a m r e	m a m r e
c o o b e e d	o b e t h	o b e d	o b e d	o b e d	o b o b e d	o b e d	o b e d
g a y u s	g a e u s	g a i u s	g a e u s	g a i u s	g a i s	g a e u s	g a e u s
b i k r i i	b i c r i	b i c r i	b i c r i	b i c r i	b i k r i	b i c r i	b i c r i
y u h u u d i	j i h u d o y a	j i h u d o y	j i h u d o y a	j i h u d o y	j i h u d i	j i h u d o y a	j i h u d o y a
