unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a - b a	a b a	a b a	a b a	a b a	a b a b	a b a	a b a
c h r i s t	c h r i s t	c h r i s t	c h r i s t	c h r i s t	c h r i s t	c h r i s t	c h r i s t
g i o - a c h		j o a s h	j o a s h	j o a s h	j o a s h	j o a s h	j o a s h
a - p h e c		a p h e k	a p h e k	a p h e k	a p h e r	a p h e k	a p h e k
g i e - r o - b o - a m		j e r o b o a m	j e r o b o a m	j e r o b o a m	j e r o b o b	j e r o b o a m	j e r o b o a m
t h e - c o - a		t e c o a	t e c o a	t e c o a	t h e c h o r	t e c o a	t e c o a
e - d e n		e d e n	e d e n	e d e n	e d e n	e d e n	e d e n
b a - t e - l e - m y		b a t e l e m y	b a t e l e m y	b a t e l e m y	b a t h e l e m	b a t e l e m y	b a t e l e m y
b a - t i - m e		b a t i m e	b a t i m e	b a t i m e	p a t i m e s	b a t i m e	b a t i m e
b i e t - v a i		b i e d v a i	b i e r v a i	b i e d v a i	b i t h r a i	b i e d v a i	b i e d v a i
s e - s a		s e s a	s h e s a	s e s a	c e s a r	s e s a	s e s a
e - p h o - r a t		e p h r a t	e p h r a t	e p h r a t	e p h r e r	e p h r a t	e p h r a t
s i - k h a	s i k a	s i k h a	s i c h a	s i k h a	s h i h a	s i k h a	s i k h a
s e - l a		s e l a	s e l a	s e l a	s e l a	s e l a	s e l a
b a - r u c		b a r u s	b a r u g	b a r u s	b a r d u s	b a r u s	b a r u s
g i a - h a - x i - e n		j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l	j a h a z i e l
a - n a c	a n k	a n a s	a n a s	a n a s	a n a k	a n a s	a n a s
b a - a n h	b a a l	b a a l	b a a l	b a a l	b a a n	b a a l	b a a l
g i o - a p		j o a b	j o a b	j o a b	j o a b	j o a b	j o a b
a - s a - e n		a s h a e l	a s h a e l	a s h a e l	a s a e l	a s h a e l	a s h a e l
m e - s o - b o - t a - m i		m e s h o b o t a m i	m e s h o b o t a m i	m e s h o b o t a m i	m e s o p o t	m e s h o b o t a m i	m e s h o b o t a m i
m a n - t o		m a n a	m a n t o	m a n a	m a n t a s	m a n a	m a n a
o - b a - d i a		o b a d i a h	o b a d i a h	o b a d i a h	o b d i a h	o b a d i a h	o b a d i a h
g a - l a - t i	g a l t i a	g a l a t i	g a l a t i a	g a l a t i	g a l a d i	g a l a t i	g a l a t i
b e t - s e		b e z e	b e t h e s	b e z e	b e t h e s	b e z e	b e z e
g i e - x e		j e z e r	j e z e r	j e z e r	j e z e r	j e z e r	j e z e r
s i - o n		s i o n	s i o n	s i o n	s i o n	s i o n	s i o n
s e - m i - d a		s h e m i d a	s h e m i d a	s h e m i d a	s e m m i d a	s h e m i d a	s h e m i d a
h a - r a n	h a r a n	h a r a n	h a r a n	h a r a n	h a r a n	h a r a n	h a r a n
s u - x a n - n o		s h u z a n n a	s h u z a n n a	s h u z a n n a	s h u s a n n e r	s h u z a n n a	s h u z a n n a
c o t		c o t	c o t	c o t	c o t h	c o t	c o t
t u - b a n h	t u b a l	t u b a l	t u b a l	t u b a l	t u b p a l	t u b a l	t u b a l
m a - h a - l a - l e	m a h a l e l e r	m a h a l a l e	m a h a l a l e	m a h a l a l e	m a h a l	m a h a l a l e	m a h a l a l e
t a t - s o		t a r s a	t a z o r	t a r s a	t a r s h e s	t a r s a	t a r s a
a - c a n	a c h a n	a c a n	a c a n	a c a n	a k a n	a c a n	a c a n
a c h - d o t		a h d o t	a s h d o t	a h d o t	a h d d o d	a h d o t	a h d o t
t a y - b a n - n h a		t a y b a n n h a	t a y b a n n h a	t a y b a n n h a	t h i b p a n	t a y b a n n h a	t a y b a n n h a
c o - l e - o - b a		c l e o b a	c l e o b a	c l e o b a	k e l e b a b	c l e o b a	c l e o b a
t r o n g	b	t r o n	t r o n g	t r o n	t r o n e s	t r o n g	t r o n
n a - c o		n a c o	n a c o	n a c o	n a c o n	n a c o	n a c o
b a y		b i y	b a y	b i y	b i l	b a y	b i y
g a - a n h	g a a l	g a a l	g a a l	g a a l	g a a n	g a a l	g a a l
o - n e - s i m		o n e s i m	o n e s i m	o n e s i m	o n e s i m	o n e s i m	o n e s i m
